date,Partecipazioni matrimonio,isPartial
2018-01-07,81,False
2018-01-14,70,False
2018-01-21,58,False
2018-01-28,22,False
2018-02-04,23,False
2018-02-11,23,False
2018-02-18,24,False
2018-02-25,68,False
2018-03-04,24,False
2018-03-11,36,False
2018-03-18,37,False
2018-03-25,100,False
2018-04-01,26,False
2018-04-08,25,False
2018-04-15,26,False
2018-04-22,39,False
2018-04-29,38,False
2018-05-06,25,False
2018-05-13,73,False
2018-05-20,25,False
2018-05-27,50,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,74,False
2018-07-01,0,False
2018-07-08,24,False
2018-07-15,0,False
2018-07-22,25,False
2018-07-29,75,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,25,False
2018-08-26,35,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,0,False
2018-09-23,49,False
2018-09-30,37,False
2018-10-07,0,False
2018-10-14,25,False
2018-10-21,25,False
2018-10-28,0,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,49,False
2018-11-25,37,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,29,False
2018-12-30,53,False
2019-01-06,48,False
2019-01-13,60,False
2019-01-20,68,False
2019-01-27,34,False
2019-02-03,45,False
2019-02-10,46,False
2019-02-17,35,False
2019-02-24,23,False
2019-03-03,47,False
2019-03-10,0,False
2019-03-17,48,False
2019-03-24,24,False
2019-03-31,23,False
2019-04-07,23,False
2019-04-14,0,False
2019-04-21,49,False
2019-04-28,34,False
2019-05-05,44,False
2019-05-12,22,False
2019-05-19,22,False
2019-05-26,87,False
2019-06-02,24,False
2019-06-09,24,False
2019-06-16,23,False
2019-06-23,36,False
2019-06-30,70,False
2019-07-07,24,False
2019-07-14,37,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,56,False
2019-08-18,38,False
2019-08-25,23,False
2019-09-01,0,False
2019-09-08,47,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,0,False
2019-10-06,45,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,66,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,21,False
2019-11-24,22,False
2019-12-01,68,False
2019-12-08,45,False
2019-12-15,68,False
2019-12-22,51,False
2019-12-29,36,False
2020-01-05,54,False
2020-01-12,61,False
2020-01-19,42,False
2020-01-26,41,False
2020-02-02,20,False
2020-02-09,21,False
2020-02-16,31,False
2020-02-23,30,False
2020-03-01,39,False
2020-03-08,37,False
2020-03-15,38,False
2020-03-22,26,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,19,False
2020-04-19,0,False
2020-04-26,0,True
