date,yoga enfant,isPartial
2018-01-07,40,False
2018-01-14,46,False
2018-01-21,30,False
2018-01-28,41,False
2018-02-04,40,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,19,False
2018-03-11,20,False
2018-03-18,30,False
2018-03-25,20,False
2018-04-01,0,False
2018-04-08,21,False
2018-04-15,0,False
2018-04-22,21,False
2018-04-29,31,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,43,False
2018-05-27,31,False
2018-06-03,0,False
2018-06-10,30,False
2018-06-17,32,False
2018-06-24,32,False
2018-07-01,0,False
2018-07-08,21,False
2018-07-15,22,False
2018-07-22,0,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,24,False
2018-08-19,0,False
2018-08-26,32,False
2018-09-02,32,False
2018-09-09,36,False
2018-09-16,65,False
2018-09-23,43,False
2018-09-30,42,False
2018-10-07,29,False
2018-10-14,22,False
2018-10-21,55,False
2018-10-28,32,False
2018-11-04,31,False
2018-11-11,32,False
2018-11-18,20,False
2018-11-25,21,False
2018-12-02,27,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,23,False
2018-12-30,22,False
2019-01-06,27,False
2019-01-13,20,False
2019-01-20,39,False
2019-01-27,19,False
2019-02-03,20,False
2019-02-10,20,False
2019-02-17,0,False
2019-02-24,20,False
2019-03-03,20,False
2019-03-10,20,False
2019-03-17,21,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,38,False
2019-04-14,20,False
2019-04-21,30,False
2019-04-28,0,False
2019-05-05,19,False
2019-05-12,19,False
2019-05-19,38,False
2019-05-26,20,False
2019-06-02,19,False
2019-06-09,18,False
2019-06-16,20,False
2019-06-23,29,False
2019-06-30,20,False
2019-07-07,0,False
2019-07-14,30,False
2019-07-21,0,False
2019-07-28,20,False
2019-08-04,21,False
2019-08-11,32,False
2019-08-18,44,False
2019-08-25,34,False
2019-09-01,31,False
2019-09-08,47,False
2019-09-15,56,False
2019-09-22,18,False
2019-09-29,38,False
2019-10-06,25,False
2019-10-13,38,False
2019-10-20,19,False
2019-10-27,18,False
2019-11-03,18,False
2019-11-10,36,False
2019-11-17,30,False
2019-11-24,17,False
2019-12-01,17,False
2019-12-08,29,False
2019-12-15,26,False
2019-12-22,19,False
2019-12-29,19,False
2020-01-05,26,False
2020-01-12,34,False
2020-01-19,17,False
2020-01-26,33,False
2020-02-02,25,False
2020-02-09,28,False
2020-02-16,16,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,24,False
2020-03-15,77,False
2020-03-22,100,False
2020-03-29,81,False
2020-04-05,56,False
2020-04-12,46,False
2020-04-19,46,False
2020-04-26,15,False
2020-05-03,0,False
2020-05-10,41,False
2020-05-17,32,True
