date,yoga enfant,isPartial
2018-01-07,17,False
2018-01-14,16,False
2018-01-21,17,False
2018-01-28,8,False
2018-02-04,12,False
2018-02-11,17,False
2018-02-18,11,False
2018-02-25,14,False
2018-03-04,15,False
2018-03-11,14,False
2018-03-18,16,False
2018-03-25,15,False
2018-04-01,10,False
2018-04-08,10,False
2018-04-15,8,False
2018-04-22,8,False
2018-04-29,8,False
2018-05-06,10,False
2018-05-13,14,False
2018-05-20,7,False
2018-05-27,9,False
2018-06-03,8,False
2018-06-10,15,False
2018-06-17,7,False
2018-06-24,18,False
2018-07-01,9,False
2018-07-08,10,False
2018-07-15,16,False
2018-07-22,10,False
2018-07-29,15,False
2018-08-05,12,False
2018-08-12,19,False
2018-08-19,17,False
2018-08-26,14,False
2018-09-02,34,False
2018-09-09,29,False
2018-09-16,23,False
2018-09-23,16,False
2018-09-30,15,False
2018-10-07,16,False
2018-10-14,15,False
2018-10-21,18,False
2018-10-28,11,False
2018-11-04,18,False
2018-11-11,17,False
2018-11-18,10,False
2018-11-25,16,False
2018-12-02,14,False
2018-12-09,9,False
2018-12-16,12,False
2018-12-23,6,False
2018-12-30,8,False
2019-01-06,14,False
2019-01-13,20,False
2019-01-20,13,False
2019-01-27,8,False
2019-02-03,13,False
2019-02-10,10,False
2019-02-17,13,False
2019-02-24,10,False
2019-03-03,10,False
2019-03-10,12,False
2019-03-17,10,False
2019-03-24,9,False
2019-03-31,6,False
2019-04-07,11,False
2019-04-14,9,False
2019-04-21,15,False
2019-04-28,10,False
2019-05-05,7,False
2019-05-12,15,False
2019-05-19,13,False
2019-05-26,14,False
2019-06-02,6,False
2019-06-09,17,False
2019-06-16,12,False
2019-06-23,13,False
2019-06-30,9,False
2019-07-07,14,False
2019-07-14,12,False
2019-07-21,12,False
2019-07-28,15,False
2019-08-04,8,False
2019-08-11,19,False
2019-08-18,13,False
2019-08-25,27,False
2019-09-01,27,False
2019-09-08,18,False
2019-09-15,16,False
2019-09-22,19,False
2019-09-29,14,False
2019-10-06,19,False
2019-10-13,15,False
2019-10-20,5,False
2019-10-27,13,False
2019-11-03,18,False
2019-11-10,19,False
2019-11-17,17,False
2019-11-24,10,False
2019-12-01,10,False
2019-12-08,6,False
2019-12-15,11,False
2019-12-22,9,False
2019-12-29,7,False
2020-01-05,12,False
2020-01-12,10,False
2020-01-19,10,False
2020-01-26,13,False
2020-02-02,11,False
2020-02-09,17,False
2020-02-16,11,False
2020-02-23,12,False
2020-03-01,13,False
2020-03-08,20,False
2020-03-15,94,False
2020-03-22,100,False
2020-03-29,89,False
2020-04-05,64,False
2020-04-12,52,False
2020-04-19,41,False
2020-04-26,37,False
2020-05-03,31,False
2020-05-10,23,False
2020-05-17,19,True
