date,Hoftor,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,0,False
2018-02-11,33,False
2018-02-18,48,False
2018-02-25,48,False
2018-03-04,0,False
2018-03-11,63,False
2018-03-18,0,False
2018-03-25,35,False
2018-04-01,68,False
2018-04-08,32,False
2018-04-15,33,False
2018-04-22,42,False
2018-04-29,33,False
2018-05-06,33,False
2018-05-13,48,False
2018-05-20,51,False
2018-05-27,64,False
2018-06-03,32,False
2018-06-10,31,False
2018-06-17,31,False
2018-06-24,32,False
2018-07-01,32,False
2018-07-08,31,False
2018-07-15,66,False
2018-07-22,67,False
2018-07-29,34,False
2018-08-05,68,False
2018-08-12,67,False
2018-08-19,100,False
2018-08-26,33,False
2018-09-02,33,False
2018-09-09,33,False
2018-09-16,49,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,33,False
2018-10-14,66,False
2018-10-21,33,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,0,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,64,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,45,False
2019-01-13,30,False
2019-01-20,30,False
2019-01-27,29,False
2019-02-03,59,False
2019-02-10,41,False
2019-02-17,0,False
2019-02-24,31,False
2019-03-03,61,False
2019-03-10,44,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,30,False
2019-04-07,52,False
2019-04-14,83,False
2019-04-21,0,False
2019-04-28,62,False
2019-05-05,30,False
2019-05-12,31,False
2019-05-19,76,False
2019-05-26,31,False
2019-06-02,45,False
2019-06-09,78,False
2019-06-16,62,False
2019-06-23,0,False
2019-06-30,30,False
2019-07-07,0,False
2019-07-14,48,False
2019-07-21,35,False
2019-07-28,67,False
2019-08-04,34,False
2019-08-11,48,False
2019-08-18,48,False
2019-08-25,41,False
2019-09-01,45,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,30,False
2019-09-29,45,False
2019-10-06,29,False
2019-10-13,30,False
2019-10-20,0,False
2019-10-27,29,False
2019-11-03,42,False
2019-11-10,29,False
2019-11-17,47,False
2019-11-24,41,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,29,False
2019-12-22,33,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,0,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,36,False
2020-02-09,39,False
2020-02-16,41,False
2020-02-23,26,False
2020-03-01,52,False
2020-03-08,50,False
2020-03-15,25,False
2020-03-22,24,False
2020-03-29,49,False
2020-04-05,53,False
2020-04-12,42,False
2020-04-19,25,False
2020-04-26,48,False
2020-05-03,25,False
2020-05-10,25,False
