date,Hoftor,isPartial
2018-01-07,33,False
2018-01-14,21,False
2018-01-21,0,False
2018-01-28,22,False
2018-02-04,37,False
2018-02-11,22,False
2018-02-18,22,False
2018-02-25,45,False
2018-03-04,56,False
2018-03-11,22,False
2018-03-18,56,False
2018-03-25,24,False
2018-04-01,24,False
2018-04-08,31,False
2018-04-15,35,False
2018-04-22,46,False
2018-04-29,24,False
2018-05-06,59,False
2018-05-13,23,False
2018-05-20,37,False
2018-05-27,50,False
2018-06-03,24,False
2018-06-10,22,False
2018-06-17,38,False
2018-06-24,23,False
2018-07-01,33,False
2018-07-08,23,False
2018-07-15,46,False
2018-07-22,35,False
2018-07-29,36,False
2018-08-05,0,False
2018-08-12,50,False
2018-08-19,38,False
2018-08-26,50,False
2018-09-02,47,False
2018-09-09,23,False
2018-09-16,23,False
2018-09-23,35,False
2018-09-30,46,False
2018-10-07,23,False
2018-10-14,22,False
2018-10-21,29,False
2018-10-28,0,False
2018-11-04,33,False
2018-11-11,43,False
2018-11-18,21,False
2018-11-25,21,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,26,False
2018-12-30,23,False
2019-01-06,41,False
2019-01-13,31,False
2019-01-20,20,False
2019-01-27,20,False
2019-02-03,0,False
2019-02-10,42,False
2019-02-17,42,False
2019-02-24,22,False
2019-03-03,21,False
2019-03-10,21,False
2019-03-17,32,False
2019-03-24,21,False
2019-03-31,42,False
2019-04-07,32,False
2019-04-14,34,False
2019-04-21,37,False
2019-04-28,32,False
2019-05-05,20,False
2019-05-12,42,False
2019-05-19,0,False
2019-05-26,22,False
2019-06-02,21,False
2019-06-09,34,False
2019-06-16,100,False
2019-06-23,21,False
2019-06-30,42,False
2019-07-07,41,False
2019-07-14,22,False
2019-07-21,45,False
2019-07-28,56,False
2019-08-04,31,False
2019-08-11,34,False
2019-08-18,23,False
2019-08-25,35,False
2019-09-01,44,False
2019-09-08,53,False
2019-09-15,22,False
2019-09-22,41,False
2019-09-29,21,False
2019-10-06,20,False
2019-10-13,20,False
2019-10-20,40,False
2019-10-27,20,False
2019-11-03,58,False
2019-11-10,20,False
2019-11-17,20,False
2019-11-24,19,False
2019-12-01,0,False
2019-12-08,20,False
2019-12-15,20,False
2019-12-22,23,False
2019-12-29,22,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,19,False
2020-01-26,18,False
2020-02-02,19,False
2020-02-09,31,False
2020-02-16,38,False
2020-02-23,43,False
2020-03-01,55,False
2020-03-08,17,False
2020-03-15,34,False
2020-03-22,25,False
2020-03-29,56,False
2020-04-05,46,False
2020-04-12,35,False
2020-04-19,68,False
2020-04-26,44,False
2020-05-03,34,False
2020-05-10,25,False
