date,bomboniere per cresima,isPartial
2018-01-07,34,False
2018-01-14,40,False
2018-01-21,93,False
2018-01-28,53,False
2018-02-04,45,False
2018-02-11,46,False
2018-02-18,83,False
2018-02-25,57,False
2018-03-04,96,False
2018-03-11,71,False
2018-03-18,92,False
2018-03-25,55,False
2018-04-01,100,False
2018-04-08,59,False
2018-04-15,88,False
2018-04-22,14,False
2018-04-29,40,False
2018-05-06,39,False
2018-05-13,53,False
2018-05-20,54,False
2018-05-27,0,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,13,False
2018-06-24,13,False
2018-07-01,40,False
2018-07-08,0,False
2018-07-15,14,False
2018-07-22,14,False
2018-07-29,27,False
2018-08-05,29,False
2018-08-12,15,False
2018-08-19,0,False
2018-08-26,27,False
2018-09-02,58,False
2018-09-09,39,False
2018-09-16,51,False
2018-09-23,52,False
2018-09-30,46,False
2018-10-07,40,False
2018-10-14,41,False
2018-10-21,33,False
2018-10-28,19,False
2018-11-04,25,False
2018-11-11,53,False
2018-11-18,19,False
2018-11-25,13,False
2018-12-02,27,False
2018-12-09,13,False
2018-12-16,14,False
2018-12-23,16,False
2018-12-30,29,False
2019-01-06,47,False
2019-01-13,32,False
2019-01-20,69,False
2019-01-27,43,False
2019-02-03,37,False
2019-02-10,63,False
2019-02-17,65,False
2019-02-24,57,False
2019-03-03,47,False
2019-03-10,85,False
2019-03-17,100,False
2019-03-24,46,False
2019-03-31,26,False
2019-04-07,52,False
2019-04-14,34,False
2019-04-21,28,False
2019-04-28,52,False
2019-05-05,63,False
2019-05-12,69,False
2019-05-19,44,False
2019-05-26,49,False
2019-06-02,13,False
2019-06-09,0,False
2019-06-16,13,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,20,False
2019-07-21,0,False
2019-07-28,27,False
2019-08-04,28,False
2019-08-11,30,False
2019-08-18,28,False
2019-08-25,19,False
2019-09-01,54,False
2019-09-08,38,False
2019-09-15,12,False
2019-09-22,61,False
2019-09-29,67,False
2019-10-06,50,False
2019-10-13,18,False
2019-10-20,12,False
2019-10-27,24,False
2019-11-03,35,False
2019-11-10,30,False
2019-11-17,24,False
2019-11-24,18,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,12,False
2019-12-22,0,False
2019-12-29,21,False
2020-01-05,36,False
2020-01-12,45,False
2020-01-19,57,False
2020-01-26,57,False
2020-02-02,50,False
2020-02-09,35,False
2020-02-16,34,False
2020-02-23,38,False
2020-03-01,11,False
2020-03-08,10,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,21,False
2020-04-12,10,False
2020-04-19,10,False
2020-04-26,0,True
