date,Glasschiebetür,isPartial
2018-01-07,53,False
2018-01-14,40,False
2018-01-21,66,False
2018-01-28,26,False
2018-02-04,40,False
2018-02-11,27,False
2018-02-18,0,False
2018-02-25,27,False
2018-03-04,81,False
2018-03-11,53,False
2018-03-18,27,False
2018-03-25,29,False
2018-04-01,59,False
2018-04-08,42,False
2018-04-15,0,False
2018-04-22,57,False
2018-04-29,29,False
2018-05-06,57,False
2018-05-13,55,False
2018-05-20,86,False
2018-05-27,57,False
2018-06-03,28,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,29,False
2018-07-08,0,False
2018-07-15,59,False
2018-07-22,88,False
2018-07-29,29,False
2018-08-05,0,False
2018-08-12,29,False
2018-08-19,42,False
2018-08-26,27,False
2018-09-02,54,False
2018-09-09,54,False
2018-09-16,28,False
2018-09-23,42,False
2018-09-30,29,False
2018-10-07,28,False
2018-10-14,27,False
2018-10-21,80,False
2018-10-28,54,False
2018-11-04,39,False
2018-11-11,81,False
2018-11-18,41,False
2018-11-25,86,False
2018-12-02,42,False
2018-12-09,57,False
2018-12-16,29,False
2018-12-23,68,False
2018-12-30,30,False
2019-01-06,84,False
2019-01-13,0,False
2019-01-20,66,False
2019-01-27,53,False
2019-02-03,80,False
2019-02-10,54,False
2019-02-17,27,False
2019-02-24,28,False
2019-03-03,53,False
2019-03-10,54,False
2019-03-17,55,False
2019-03-24,40,False
2019-03-31,27,False
2019-04-07,27,False
2019-04-14,44,False
2019-04-21,100,False
2019-04-28,41,False
2019-05-05,26,False
2019-05-12,27,False
2019-05-19,26,False
2019-05-26,42,False
2019-06-02,0,False
2019-06-09,55,False
2019-06-16,28,False
2019-06-23,0,False
2019-06-30,28,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,59,False
2019-07-28,44,False
2019-08-04,0,False
2019-08-11,66,False
2019-08-18,67,False
2019-08-25,40,False
2019-09-01,26,False
2019-09-08,27,False
2019-09-15,54,False
2019-09-22,53,False
2019-09-29,56,False
2019-10-06,53,False
2019-10-13,38,False
2019-10-20,25,False
2019-10-27,37,False
2019-11-03,50,False
2019-11-10,86,False
2019-11-17,51,False
2019-11-24,49,False
2019-12-01,25,False
2019-12-08,38,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,51,False
2020-01-12,59,False
2020-01-19,36,False
2020-01-26,48,False
2020-02-02,96,False
2020-02-09,35,False
2020-02-16,24,False
2020-02-23,24,False
2020-03-01,71,False
2020-03-08,22,False
2020-03-15,22,False
2020-03-22,34,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,59,False
2020-04-19,34,False
2020-04-26,22,False
2020-05-03,23,False
2020-05-10,45,False
