date,Glasschiebetür,isPartial
2018-01-07,0,False
2018-01-14,27,False
2018-01-21,81,False
2018-01-28,0,False
2018-02-04,82,False
2018-02-11,0,False
2018-02-18,42,False
2018-02-25,27,False
2018-03-04,40,False
2018-03-11,54,False
2018-03-18,40,False
2018-03-25,29,False
2018-04-01,29,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,56,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,26,False
2018-06-03,27,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,28,False
2018-07-08,0,False
2018-07-15,29,False
2018-07-22,0,False
2018-07-29,56,False
2018-08-05,39,False
2018-08-12,26,False
2018-08-19,0,False
2018-08-26,27,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,41,False
2018-09-30,0,False
2018-10-07,28,False
2018-10-14,27,False
2018-10-21,25,False
2018-10-28,0,False
2018-11-04,50,False
2018-11-11,0,False
2018-11-18,100,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,51,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,0,False
2019-01-27,24,False
2019-02-03,50,False
2019-02-10,25,False
2019-02-17,27,False
2019-02-24,39,False
2019-03-03,75,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,25,False
2019-03-31,0,False
2019-04-07,25,False
2019-04-14,55,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,25,False
2019-05-12,0,False
2019-05-19,50,False
2019-05-26,0,False
2019-06-02,25,False
2019-06-09,0,False
2019-06-16,25,False
2019-06-23,26,False
2019-06-30,0,False
2019-07-07,26,False
2019-07-14,27,False
2019-07-21,28,False
2019-07-28,40,False
2019-08-04,26,False
2019-08-11,0,False
2019-08-18,26,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,25,False
2019-09-15,26,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,49,False
2019-10-13,38,False
2019-10-20,25,False
2019-10-27,23,False
2019-11-03,0,False
2019-11-10,59,False
2019-11-17,35,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,23,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,22,False
2020-01-19,33,False
2020-01-26,33,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,34,False
2020-02-23,33,False
2020-03-01,33,False
2020-03-08,41,False
2020-03-15,20,False
2020-03-22,40,False
2020-03-29,29,False
2020-04-05,0,False
2020-04-12,21,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,20,False
2020-05-10,20,False
