date,Betonpflastersteine,isPartial
2018-01-07,15,False
2018-01-14,31,False
2018-01-21,15,False
2018-01-28,0,False
2018-02-04,16,False
2018-02-11,16,False
2018-02-18,15,False
2018-02-25,0,False
2018-03-04,15,False
2018-03-11,69,False
2018-03-18,23,False
2018-03-25,33,False
2018-04-01,100,False
2018-04-08,32,False
2018-04-15,74,False
2018-04-22,31,False
2018-04-29,24,False
2018-05-06,49,False
2018-05-13,23,False
2018-05-20,17,False
2018-05-27,24,False
2018-06-03,23,False
2018-06-10,45,False
2018-06-17,31,False
2018-06-24,47,False
2018-07-01,23,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,16,False
2018-07-29,16,False
2018-08-05,16,False
2018-08-12,41,False
2018-08-19,16,False
2018-08-26,24,False
2018-09-02,16,False
2018-09-09,55,False
2018-09-16,16,False
2018-09-23,0,False
2018-09-30,24,False
2018-10-07,31,False
2018-10-14,23,False
2018-10-21,31,False
2018-10-28,15,False
2018-11-04,22,False
2018-11-11,15,False
2018-11-18,44,False
2018-11-25,15,False
2018-12-02,0,False
2018-12-09,30,False
2018-12-16,16,False
2018-12-23,18,False
2018-12-30,24,False
2019-01-06,22,False
2019-01-13,28,False
2019-01-20,28,False
2019-01-27,35,False
2019-02-03,22,False
2019-02-10,15,False
2019-02-17,74,False
2019-02-24,38,False
2019-03-03,72,False
2019-03-10,22,False
2019-03-17,15,False
2019-03-24,45,False
2019-03-31,0,False
2019-04-07,44,False
2019-04-14,16,False
2019-04-21,39,False
2019-04-28,29,False
2019-05-05,14,False
2019-05-12,30,False
2019-05-19,44,False
2019-05-26,75,False
2019-06-02,29,False
2019-06-09,45,False
2019-06-16,23,False
2019-06-23,38,False
2019-06-30,37,False
2019-07-07,22,False
2019-07-14,31,False
2019-07-21,24,False
2019-07-28,0,False
2019-08-04,16,False
2019-08-11,30,False
2019-08-18,15,False
2019-08-25,22,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,14,False
2019-10-20,21,False
2019-10-27,14,False
2019-11-03,13,False
2019-11-10,14,False
2019-11-17,41,False
2019-11-24,14,False
2019-12-01,14,False
2019-12-08,14,False
2019-12-15,49,False
2019-12-22,0,False
2019-12-29,15,False
2020-01-05,20,False
2020-01-12,13,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,13,False
2020-02-09,19,False
2020-02-16,53,False
2020-02-23,19,False
2020-03-01,38,False
2020-03-08,42,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,18,False
2020-04-05,45,False
2020-04-12,62,False
2020-04-19,54,False
2020-04-26,41,False
2020-05-03,41,False
2020-05-10,30,False
