date,Gerüstverleih,isPartial
2018-01-07,30,False
2018-01-14,29,False
2018-01-21,59,False
2018-01-28,30,False
2018-02-04,61,False
2018-02-11,31,False
2018-02-18,77,False
2018-02-25,31,False
2018-03-04,51,False
2018-03-11,46,False
2018-03-18,46,False
2018-03-25,100,False
2018-04-01,85,False
2018-04-08,32,False
2018-04-15,32,False
2018-04-22,47,False
2018-04-29,32,False
2018-05-06,0,False
2018-05-13,46,False
2018-05-20,66,False
2018-05-27,50,False
2018-06-03,82,False
2018-06-10,29,False
2018-06-17,59,False
2018-06-24,60,False
2018-07-01,49,False
2018-07-08,29,False
2018-07-15,30,False
2018-07-22,30,False
2018-07-29,41,False
2018-08-05,53,False
2018-08-12,83,False
2018-08-19,84,False
2018-08-26,49,False
2018-09-02,54,False
2018-09-09,62,False
2018-09-16,47,False
2018-09-23,63,False
2018-09-30,31,False
2018-10-07,41,False
2018-10-14,30,False
2018-10-21,30,False
2018-10-28,46,False
2018-11-04,29,False
2018-11-11,30,False
2018-11-18,29,False
2018-11-25,39,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,85,False
2019-01-13,37,False
2019-01-20,55,False
2019-01-27,28,False
2019-02-03,28,False
2019-02-10,0,False
2019-02-17,57,False
2019-02-24,30,False
2019-03-03,29,False
2019-03-10,57,False
2019-03-17,70,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,59,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,39,False
2019-05-05,28,False
2019-05-12,43,False
2019-05-19,57,False
2019-05-26,59,False
2019-06-02,45,False
2019-06-09,63,False
2019-06-16,30,False
2019-06-23,30,False
2019-06-30,29,False
2019-07-07,55,False
2019-07-14,44,False
2019-07-21,76,False
2019-07-28,59,False
2019-08-04,62,False
2019-08-11,31,False
2019-08-18,64,False
2019-08-25,31,False
2019-09-01,59,False
2019-09-08,29,False
2019-09-15,44,False
2019-09-22,28,False
2019-09-29,43,False
2019-10-06,41,False
2019-10-13,46,False
2019-10-20,41,False
2019-10-27,42,False
2019-11-03,27,False
2019-11-10,41,False
2019-11-17,54,False
2019-11-24,40,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,32,False
2019-12-29,30,False
2020-01-05,26,False
2020-01-12,26,False
2020-01-19,26,False
2020-01-26,39,False
2020-02-02,26,False
2020-02-09,25,False
2020-02-16,44,False
2020-02-23,26,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,23,False
2020-04-05,39,False
2020-04-12,61,False
2020-04-19,32,False
2020-04-26,47,False
2020-05-03,64,False
2020-05-10,24,False
