date,leçon math,isPartial
2018-01-07,55,False
2018-01-14,55,False
2018-01-21,27,False
2018-01-28,41,False
2018-02-04,27,False
2018-02-11,28,False
2018-02-18,28,False
2018-02-25,28,False
2018-03-04,0,False
2018-03-11,47,False
2018-03-18,42,False
2018-03-25,57,False
2018-04-01,29,False
2018-04-08,28,False
2018-04-15,30,False
2018-04-22,29,False
2018-04-29,29,False
2018-05-06,30,False
2018-05-13,42,False
2018-05-20,29,False
2018-05-27,28,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,28,False
2018-06-24,42,False
2018-07-01,0,False
2018-07-08,43,False
2018-07-15,30,False
2018-07-22,30,False
2018-07-29,31,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,31,False
2018-08-26,29,False
2018-09-02,57,False
2018-09-09,67,False
2018-09-16,100,False
2018-09-23,57,False
2018-09-30,28,False
2018-10-07,57,False
2018-10-14,29,False
2018-10-21,0,False
2018-10-28,29,False
2018-11-04,28,False
2018-11-11,41,False
2018-11-18,28,False
2018-11-25,42,False
2018-12-02,42,False
2018-12-09,0,False
2018-12-16,58,False
2018-12-23,0,False
2018-12-30,30,False
2019-01-06,42,False
2019-01-13,56,False
2019-01-20,27,False
2019-01-27,40,False
2019-02-03,27,False
2019-02-10,57,False
2019-02-17,29,False
2019-02-24,28,False
2019-03-03,27,False
2019-03-10,28,False
2019-03-17,43,False
2019-03-24,43,False
2019-03-31,0,False
2019-04-07,28,False
2019-04-14,39,False
2019-04-21,0,False
2019-04-28,41,False
2019-05-05,41,False
2019-05-12,0,False
2019-05-19,27,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,27,False
2019-06-16,28,False
2019-06-23,0,False
2019-06-30,27,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,29,False
2019-07-28,0,False
2019-08-04,30,False
2019-08-11,44,False
2019-08-18,29,False
2019-08-25,0,False
2019-09-01,80,False
2019-09-08,44,False
2019-09-15,27,False
2019-09-22,26,False
2019-09-29,68,False
2019-10-06,39,False
2019-10-13,52,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,50,False
2019-11-10,25,False
2019-11-17,25,False
2019-11-24,49,False
2019-12-01,37,False
2019-12-08,49,False
2019-12-15,25,False
2019-12-22,28,False
2019-12-29,0,False
2020-01-05,24,False
2020-01-12,47,False
2020-01-19,37,False
2020-01-26,36,False
2020-02-02,24,False
2020-02-09,24,False
2020-02-16,25,False
2020-02-23,24,False
2020-03-01,23,False
2020-03-08,35,False
2020-03-15,37,False
2020-03-22,29,False
2020-03-29,21,False
2020-04-05,36,False
2020-04-12,22,False
2020-04-19,32,False
2020-04-26,21,False
2020-05-03,21,False
2020-05-10,22,False
2020-05-17,0,True
