date,peinados de novia,isPartial
2018-01-07,35,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,35,False
2018-02-04,34,False
2018-02-11,35,False
2018-02-18,71,False
2018-02-25,68,False
2018-03-04,34,False
2018-03-11,34,False
2018-03-18,53,False
2018-03-25,91,False
2018-04-01,0,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,68,False
2018-04-29,78,False
2018-05-06,34,False
2018-05-13,54,False
2018-05-20,34,False
2018-05-27,33,False
2018-06-03,34,False
2018-06-10,34,False
2018-06-17,36,False
2018-06-24,37,False
2018-07-01,38,False
2018-07-08,39,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,44,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,83,False
2018-09-02,72,False
2018-09-09,35,False
2018-09-16,34,False
2018-09-23,50,False
2018-09-30,66,False
2018-10-07,53,False
2018-10-14,50,False
2018-10-21,33,False
2018-10-28,35,False
2018-11-04,75,False
2018-11-11,31,False
2018-11-18,63,False
2018-11-25,0,False
2018-12-02,66,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,36,False
2019-01-06,35,False
2019-01-13,32,False
2019-01-20,61,False
2019-01-27,29,False
2019-02-03,33,False
2019-02-10,32,False
2019-02-17,33,False
2019-02-24,43,False
2019-03-03,34,False
2019-03-10,34,False
2019-03-17,0,False
2019-03-24,34,False
2019-03-31,65,False
2019-04-07,29,False
2019-04-14,41,False
2019-04-21,50,False
2019-04-28,35,False
2019-05-05,59,False
2019-05-12,49,False
2019-05-19,33,False
2019-05-26,31,False
2019-06-02,93,False
2019-06-09,0,False
2019-06-16,50,False
2019-06-23,34,False
2019-06-30,36,False
2019-07-07,67,False
2019-07-14,0,False
2019-07-21,56,False
2019-07-28,0,False
2019-08-04,45,False
2019-08-11,49,False
2019-08-18,69,False
2019-08-25,79,False
2019-09-01,48,False
2019-09-08,80,False
2019-09-15,45,False
2019-09-22,0,False
2019-09-29,31,False
2019-10-06,31,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,31,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,59,False
2019-11-24,28,False
2019-12-01,0,False
2019-12-08,31,False
2019-12-15,45,False
2019-12-22,36,False
2019-12-29,71,False
2020-01-05,0,False
2020-01-12,56,False
2020-01-19,42,False
2020-01-26,56,False
2020-02-02,28,False
2020-02-09,28,False
2020-02-16,100,False
2020-02-23,42,False
2020-03-01,41,False
2020-03-08,27,False
2020-03-15,0,False
2020-03-22,27,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
