date,fiori da matrimonio,isPartial
2018-01-07,81,False
2018-01-14,100,False
2018-01-21,20,False
2018-01-28,0,False
2018-02-04,39,False
2018-02-11,0,False
2018-02-18,58,False
2018-02-25,19,False
2018-03-04,19,False
2018-03-11,39,False
2018-03-18,19,False
2018-03-25,0,False
2018-04-01,42,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,63,False
2018-04-29,20,False
2018-05-06,20,False
2018-05-13,40,False
2018-05-20,40,False
2018-05-27,40,False
2018-06-03,20,False
2018-06-10,38,False
2018-06-17,0,False
2018-06-24,20,False
2018-07-01,39,False
2018-07-08,40,False
2018-07-15,0,False
2018-07-22,20,False
2018-07-29,21,False
2018-08-05,21,False
2018-08-12,67,False
2018-08-19,22,False
2018-08-26,20,False
2018-09-02,58,False
2018-09-09,19,False
2018-09-16,57,False
2018-09-23,19,False
2018-09-30,39,False
2018-10-07,60,False
2018-10-14,20,False
2018-10-21,19,False
2018-10-28,0,False
2018-11-04,19,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,40,False
2018-12-02,60,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,23,False
2018-12-30,43,False
2019-01-06,20,False
2019-01-13,38,False
2019-01-20,56,False
2019-01-27,37,False
2019-02-03,74,False
2019-02-10,75,False
2019-02-17,19,False
2019-02-24,38,False
2019-03-03,40,False
2019-03-10,39,False
2019-03-17,20,False
2019-03-24,59,False
2019-03-31,0,False
2019-04-07,57,False
2019-04-14,20,False
2019-04-21,21,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,38,False
2019-05-19,19,False
2019-05-26,36,False
2019-06-02,19,False
2019-06-09,97,False
2019-06-16,20,False
2019-06-23,0,False
2019-06-30,20,False
2019-07-07,19,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,81,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,42,False
2019-08-25,38,False
2019-09-01,53,False
2019-09-08,75,False
2019-09-15,36,False
2019-09-22,54,False
2019-09-29,18,False
2019-10-06,0,False
2019-10-13,18,False
2019-10-20,0,False
2019-10-27,36,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,18,False
2019-11-24,18,False
2019-12-01,18,False
2019-12-08,0,False
2019-12-15,37,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,36,False
2020-01-12,17,False
2020-01-19,34,False
2020-01-26,34,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,34,False
2020-02-23,16,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,46,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,16,False
2020-04-12,16,False
2020-04-19,30,False
2020-04-26,26,True
