date,Maquillaje,isPartial
2018-01-07,14,False
2018-01-14,26,False
2018-01-21,21,False
2018-01-28,35,False
2018-02-04,93,False
2018-02-11,21,False
2018-02-18,7,False
2018-02-25,11,False
2018-03-04,28,False
2018-03-11,7,False
2018-03-18,7,False
2018-03-25,26,False
2018-04-01,7,False
2018-04-08,17,False
2018-04-15,14,False
2018-04-22,10,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,11,False
2018-05-20,21,False
2018-05-27,17,False
2018-06-03,7,False
2018-06-10,21,False
2018-06-17,26,False
2018-06-24,11,False
2018-07-01,25,False
2018-07-08,10,False
2018-07-15,15,False
2018-07-22,19,False
2018-07-29,15,False
2018-08-05,15,False
2018-08-12,11,False
2018-08-19,19,False
2018-08-26,29,False
2018-09-02,18,False
2018-09-09,11,False
2018-09-16,12,False
2018-09-23,14,False
2018-09-30,21,False
2018-10-07,29,False
2018-10-14,32,False
2018-10-21,32,False
2018-10-28,100,False
2018-11-04,7,False
2018-11-11,38,False
2018-11-18,20,False
2018-11-25,21,False
2018-12-02,22,False
2018-12-09,33,False
2018-12-16,37,False
2018-12-23,24,False
2018-12-30,35,False
2019-01-06,21,False
2019-01-13,34,False
2019-01-20,20,False
2019-01-27,13,False
2019-02-03,14,False
2019-02-10,17,False
2019-02-17,21,False
2019-02-24,71,False
2019-03-03,14,False
2019-03-10,17,False
2019-03-17,23,False
2019-03-24,10,False
2019-03-31,34,False
2019-04-07,14,False
2019-04-14,20,False
2019-04-21,25,False
2019-04-28,14,False
2019-05-05,14,False
2019-05-12,17,False
2019-05-19,10,False
2019-05-26,27,False
2019-06-02,20,False
2019-06-09,19,False
2019-06-16,29,False
2019-06-23,15,False
2019-06-30,21,False
2019-07-07,7,False
2019-07-14,7,False
2019-07-21,7,False
2019-07-28,11,False
2019-08-04,8,False
2019-08-11,23,False
2019-08-18,25,False
2019-08-25,7,False
2019-09-01,21,False
2019-09-08,21,False
2019-09-15,17,False
2019-09-22,7,False
2019-09-29,17,False
2019-10-06,13,False
2019-10-13,6,False
2019-10-20,13,False
2019-10-27,100,False
2019-11-03,31,False
2019-11-10,12,False
2019-11-17,12,False
2019-11-24,21,False
2019-12-01,6,False
2019-12-08,19,False
2019-12-15,19,False
2019-12-22,43,False
2019-12-29,49,False
2020-01-05,31,False
2020-01-12,20,False
2020-01-19,17,False
2020-01-26,24,False
2020-02-02,12,False
2020-02-09,15,False
2020-02-16,90,False
2020-02-23,17,False
2020-03-01,6,False
2020-03-08,8,False
2020-03-15,22,False
2020-03-22,5,False
2020-03-29,7,False
2020-04-05,14,False
2020-04-12,26,True
