date,Maquillaje,isPartial
2018-01-07,17,False
2018-01-14,17,False
2018-01-21,18,False
2018-01-28,18,False
2018-02-04,37,False
2018-02-11,39,False
2018-02-18,20,False
2018-02-25,17,False
2018-03-04,16,False
2018-03-11,14,False
2018-03-18,17,False
2018-03-25,14,False
2018-04-01,15,False
2018-04-08,15,False
2018-04-15,14,False
2018-04-22,13,False
2018-04-29,17,False
2018-05-06,15,False
2018-05-13,13,False
2018-05-20,13,False
2018-05-27,16,False
2018-06-03,15,False
2018-06-10,17,False
2018-06-17,15,False
2018-06-24,14,False
2018-07-01,15,False
2018-07-08,15,False
2018-07-15,13,False
2018-07-22,11,False
2018-07-29,13,False
2018-08-05,14,False
2018-08-12,13,False
2018-08-19,14,False
2018-08-26,18,False
2018-09-02,14,False
2018-09-09,16,False
2018-09-16,18,False
2018-09-23,15,False
2018-09-30,17,False
2018-10-07,16,False
2018-10-14,19,False
2018-10-21,38,False
2018-10-28,85,False
2018-11-04,16,False
2018-11-11,18,False
2018-11-18,19,False
2018-11-25,18,False
2018-12-02,19,False
2018-12-09,18,False
2018-12-16,23,False
2018-12-23,25,False
2018-12-30,26,False
2019-01-06,16,False
2019-01-13,14,False
2019-01-20,11,False
2019-01-27,16,False
2019-02-03,16,False
2019-02-10,20,False
2019-02-17,25,False
2019-02-24,37,False
2019-03-03,35,False
2019-03-10,17,False
2019-03-17,16,False
2019-03-24,14,False
2019-03-31,14,False
2019-04-07,17,False
2019-04-14,13,False
2019-04-21,15,False
2019-04-28,15,False
2019-05-05,14,False
2019-05-12,15,False
2019-05-19,16,False
2019-05-26,13,False
2019-06-02,13,False
2019-06-09,16,False
2019-06-16,16,False
2019-06-23,13,False
2019-06-30,14,False
2019-07-07,12,False
2019-07-14,13,False
2019-07-21,11,False
2019-07-28,12,False
2019-08-04,13,False
2019-08-11,13,False
2019-08-18,15,False
2019-08-25,15,False
2019-09-01,14,False
2019-09-08,13,False
2019-09-15,15,False
2019-09-22,15,False
2019-09-29,16,False
2019-10-06,22,False
2019-10-13,23,False
2019-10-20,28,False
2019-10-27,100,False
2019-11-03,17,False
2019-11-10,16,False
2019-11-17,15,False
2019-11-24,17,False
2019-12-01,21,False
2019-12-08,22,False
2019-12-15,26,False
2019-12-22,28,False
2019-12-29,28,False
2020-01-05,17,False
2020-01-12,15,False
2020-01-19,15,False
2020-01-26,15,False
2020-02-02,17,False
2020-02-09,20,False
2020-02-16,42,False
2020-02-23,33,False
2020-03-01,19,False
2020-03-08,11,False
2020-03-15,10,False
2020-03-22,14,False
2020-03-29,13,False
2020-04-05,18,False
2020-04-12,14,True
