date,Maquillaje,isPartial
2018-01-07,13,False
2018-01-14,18,False
2018-01-21,21,False
2018-01-28,23,False
2018-02-04,81,False
2018-02-11,30,False
2018-02-18,12,False
2018-02-25,12,False
2018-03-04,9,False
2018-03-11,10,False
2018-03-18,12,False
2018-03-25,6,False
2018-04-01,10,False
2018-04-08,15,False
2018-04-15,12,False
2018-04-22,10,False
2018-04-29,10,False
2018-05-06,10,False
2018-05-13,6,False
2018-05-20,11,False
2018-05-27,10,False
2018-06-03,12,False
2018-06-10,13,False
2018-06-17,10,False
2018-06-24,13,False
2018-07-01,5,False
2018-07-08,11,False
2018-07-15,8,False
2018-07-22,14,False
2018-07-29,15,False
2018-08-05,11,False
2018-08-12,4,False
2018-08-19,9,False
2018-08-26,13,False
2018-09-02,8,False
2018-09-09,7,False
2018-09-16,11,False
2018-09-23,9,False
2018-09-30,7,False
2018-10-07,11,False
2018-10-14,15,False
2018-10-21,23,False
2018-10-28,67,False
2018-11-04,8,False
2018-11-11,14,False
2018-11-18,12,False
2018-11-25,20,False
2018-12-02,17,False
2018-12-09,11,False
2018-12-16,9,False
2018-12-23,19,False
2018-12-30,20,False
2019-01-06,16,False
2019-01-13,12,False
2019-01-20,12,False
2019-01-27,13,False
2019-02-03,15,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,100,False
2019-03-03,32,False
2019-03-10,10,False
2019-03-17,9,False
2019-03-24,11,False
2019-03-31,15,False
2019-04-07,9,False
2019-04-14,8,False
2019-04-21,14,False
2019-04-28,12,False
2019-05-05,12,False
2019-05-12,8,False
2019-05-19,12,False
2019-05-26,11,False
2019-06-02,11,False
2019-06-09,11,False
2019-06-16,10,False
2019-06-23,9,False
2019-06-30,10,False
2019-07-07,11,False
2019-07-14,10,False
2019-07-21,11,False
2019-07-28,9,False
2019-08-04,10,False
2019-08-11,13,False
2019-08-18,12,False
2019-08-25,19,False
2019-09-01,9,False
2019-09-08,11,False
2019-09-15,13,False
2019-09-22,12,False
2019-09-29,8,False
2019-10-06,13,False
2019-10-13,15,False
2019-10-20,22,False
2019-10-27,69,False
2019-11-03,8,False
2019-11-10,15,False
2019-11-17,9,False
2019-11-24,14,False
2019-12-01,11,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,21,False
2019-12-29,23,False
2020-01-05,13,False
2020-01-12,21,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,20,False
2020-02-09,20,False
2020-02-16,77,False
2020-02-23,32,False
2020-03-01,10,False
2020-03-08,7,False
2020-03-15,5,False
2020-03-22,6,False
2020-03-29,7,False
2020-04-05,14,False
2020-04-12,7,True
