date,Maquillaje,isPartial
2018-01-07,12,False
2018-01-14,19,False
2018-01-21,15,False
2018-01-28,24,False
2018-02-04,55,False
2018-02-11,44,False
2018-02-18,17,False
2018-02-25,16,False
2018-03-04,14,False
2018-03-11,13,False
2018-03-18,15,False
2018-03-25,12,False
2018-04-01,10,False
2018-04-08,16,False
2018-04-15,12,False
2018-04-22,16,False
2018-04-29,13,False
2018-05-06,12,False
2018-05-13,18,False
2018-05-20,12,False
2018-05-27,15,False
2018-06-03,17,False
2018-06-10,13,False
2018-06-17,14,False
2018-06-24,6,False
2018-07-01,14,False
2018-07-08,12,False
2018-07-15,12,False
2018-07-22,13,False
2018-07-29,16,False
2018-08-05,9,False
2018-08-12,18,False
2018-08-19,14,False
2018-08-26,14,False
2018-09-02,15,False
2018-09-09,10,False
2018-09-16,12,False
2018-09-23,15,False
2018-09-30,12,False
2018-10-07,16,False
2018-10-14,20,False
2018-10-21,33,False
2018-10-28,74,False
2018-11-04,11,False
2018-11-11,10,False
2018-11-18,14,False
2018-11-25,15,False
2018-12-02,14,False
2018-12-09,15,False
2018-12-16,19,False
2018-12-23,17,False
2018-12-30,18,False
2019-01-06,12,False
2019-01-13,10,False
2019-01-20,9,False
2019-01-27,12,False
2019-02-03,17,False
2019-02-10,16,False
2019-02-17,20,False
2019-02-24,72,False
2019-03-03,33,False
2019-03-10,12,False
2019-03-17,14,False
2019-03-24,17,False
2019-03-31,11,False
2019-04-07,15,False
2019-04-14,11,False
2019-04-21,14,False
2019-04-28,14,False
2019-05-05,13,False
2019-05-12,13,False
2019-05-19,16,False
2019-05-26,8,False
2019-06-02,9,False
2019-06-09,13,False
2019-06-16,13,False
2019-06-23,13,False
2019-06-30,17,False
2019-07-07,11,False
2019-07-14,9,False
2019-07-21,12,False
2019-07-28,15,False
2019-08-04,13,False
2019-08-11,11,False
2019-08-18,18,False
2019-08-25,10,False
2019-09-01,11,False
2019-09-08,5,False
2019-09-15,13,False
2019-09-22,13,False
2019-09-29,11,False
2019-10-06,15,False
2019-10-13,20,False
2019-10-20,28,False
2019-10-27,100,False
2019-11-03,16,False
2019-11-10,17,False
2019-11-17,12,False
2019-11-24,12,False
2019-12-01,14,False
2019-12-08,17,False
2019-12-15,23,False
2019-12-22,23,False
2019-12-29,23,False
2020-01-05,11,False
2020-01-12,13,False
2020-01-19,13,False
2020-01-26,15,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,69,False
2020-02-23,35,False
2020-03-01,11,False
2020-03-08,8,False
2020-03-15,7,False
2020-03-22,12,False
2020-03-29,9,False
2020-04-05,10,False
2020-04-12,10,True
