date,Wasserschaden,isPartial
2018-01-07,53,False
2018-01-14,52,False
2018-01-21,61,False
2018-01-28,55,False
2018-02-04,18,False
2018-02-11,18,False
2018-02-18,18,False
2018-02-25,18,False
2018-03-04,44,False
2018-03-11,52,False
2018-03-18,54,False
2018-03-25,37,False
2018-04-01,30,False
2018-04-08,66,False
2018-04-15,57,False
2018-04-22,47,False
2018-04-29,56,False
2018-05-06,58,False
2018-05-13,72,False
2018-05-20,57,False
2018-05-27,37,False
2018-06-03,82,False
2018-06-10,71,False
2018-06-17,37,False
2018-06-24,37,False
2018-07-01,73,False
2018-07-08,78,False
2018-07-15,31,False
2018-07-22,95,False
2018-07-29,54,False
2018-08-05,59,False
2018-08-12,29,False
2018-08-19,46,False
2018-08-26,0,False
2018-09-02,37,False
2018-09-09,28,False
2018-09-16,36,False
2018-09-23,37,False
2018-09-30,38,False
2018-10-07,49,False
2018-10-14,58,False
2018-10-21,56,False
2018-10-28,18,False
2018-11-04,44,False
2018-11-11,18,False
2018-11-18,35,False
2018-11-25,34,False
2018-12-02,45,False
2018-12-09,36,False
2018-12-16,19,False
2018-12-23,46,False
2018-12-30,40,False
2019-01-06,26,False
2019-01-13,77,False
2019-01-20,42,False
2019-01-27,34,False
2019-02-03,35,False
2019-02-10,35,False
2019-02-17,18,False
2019-02-24,0,False
2019-03-03,34,False
2019-03-10,69,False
2019-03-17,36,False
2019-03-24,45,False
2019-03-31,35,False
2019-04-07,16,False
2019-04-14,19,False
2019-04-21,96,False
2019-04-28,85,False
2019-05-05,42,False
2019-05-12,52,False
2019-05-19,35,False
2019-05-26,65,False
2019-06-02,35,False
2019-06-09,26,False
2019-06-16,72,False
2019-06-23,47,False
2019-06-30,100,False
2019-07-07,65,False
2019-07-14,50,False
2019-07-21,43,False
2019-07-28,32,False
2019-08-04,49,False
2019-08-11,63,False
2019-08-18,35,False
2019-08-25,44,False
2019-09-01,50,False
2019-09-08,35,False
2019-09-15,35,False
2019-09-22,34,False
2019-09-29,17,False
2019-10-06,35,False
2019-10-13,34,False
2019-10-20,17,False
2019-10-27,25,False
2019-11-03,65,False
2019-11-10,17,False
2019-11-17,17,False
2019-11-24,32,False
2019-12-01,33,False
2019-12-08,25,False
2019-12-15,34,False
2019-12-22,60,False
2019-12-29,39,False
2020-01-05,56,False
2020-01-12,23,False
2020-01-19,16,False
2020-01-26,55,False
2020-02-02,63,False
2020-02-09,40,False
2020-02-16,40,False
2020-02-23,46,False
2020-03-01,15,False
2020-03-08,29,False
2020-03-15,22,False
2020-03-22,14,False
2020-03-29,29,False
2020-04-05,56,False
2020-04-12,31,False
2020-04-19,29,False
2020-04-26,28,False
2020-05-03,59,False
2020-05-10,44,False
2020-05-17,48,False
2020-05-24,23,False
2020-05-31,52,False
2020-06-07,51,False
2020-06-14,67,False
2020-06-21,32,False
2020-06-28,70,False
2020-07-05,49,False
