date,acconciature capelli ricci,isPartial
2018-01-07,23,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,23,False
2018-02-11,0,False
2018-02-18,24,False
2018-02-25,25,False
2018-03-04,25,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,25,False
2018-04-15,38,False
2018-04-22,27,False
2018-04-29,64,False
2018-05-06,52,False
2018-05-13,76,False
2018-05-20,64,False
2018-05-27,26,False
2018-06-03,26,False
2018-06-10,23,False
2018-06-17,24,False
2018-06-24,49,False
2018-07-01,88,False
2018-07-08,100,False
2018-07-15,52,False
2018-07-22,49,False
2018-07-29,73,False
2018-08-05,47,False
2018-08-12,48,False
2018-08-19,44,False
2018-08-26,47,False
2018-09-02,24,False
2018-09-09,49,False
2018-09-16,0,False
2018-09-23,24,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,25,False
2018-10-21,25,False
2018-10-28,24,False
2018-11-04,50,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,29,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,24,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,47,False
2019-02-17,0,False
2019-02-24,24,False
2019-03-03,25,False
2019-03-10,24,False
2019-03-17,0,False
2019-03-24,24,False
2019-03-31,0,False
2019-04-07,49,False
2019-04-14,25,False
2019-04-21,77,False
2019-04-28,24,False
2019-05-05,0,False
2019-05-12,23,False
2019-05-19,48,False
2019-05-26,0,False
2019-06-02,60,False
2019-06-09,50,False
2019-06-16,38,False
2019-06-23,49,False
2019-06-30,25,False
2019-07-07,50,False
2019-07-14,48,False
2019-07-21,38,False
2019-07-28,0,False
2019-08-04,24,False
2019-08-11,37,False
2019-08-18,23,False
2019-08-25,22,False
2019-09-01,22,False
2019-09-08,23,False
2019-09-15,23,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,23,False
2019-11-03,45,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,50,False
2020-01-05,23,False
2020-01-12,22,False
2020-01-19,0,False
2020-01-26,23,False
2020-02-02,44,False
2020-02-09,46,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,21,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,18,False
2020-04-05,0,False
2020-04-12,40,False
2020-04-19,37,False
2020-04-26,0,True
