date,acconciature capelli ricci,isPartial
2018-01-07,0,False
2018-01-14,26,False
2018-01-21,25,False
2018-01-28,39,False
2018-02-04,26,False
2018-02-11,77,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,61,False
2018-03-18,62,False
2018-03-25,26,False
2018-04-01,54,False
2018-04-08,25,False
2018-04-15,51,False
2018-04-22,26,False
2018-04-29,0,False
2018-05-06,75,False
2018-05-13,61,False
2018-05-20,25,False
2018-05-27,75,False
2018-06-03,26,False
2018-06-10,25,False
2018-06-17,64,False
2018-06-24,39,False
2018-07-01,51,False
2018-07-08,51,False
2018-07-15,26,False
2018-07-22,27,False
2018-07-29,56,False
2018-08-05,30,False
2018-08-12,68,False
2018-08-19,100,False
2018-08-26,54,False
2018-09-02,49,False
2018-09-09,72,False
2018-09-16,60,False
2018-09-23,37,False
2018-09-30,48,False
2018-10-07,25,False
2018-10-14,0,False
2018-10-21,48,False
2018-10-28,24,False
2018-11-04,0,False
2018-11-11,24,False
2018-11-18,23,False
2018-11-25,36,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,50,False
2018-12-23,29,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,0,False
2019-03-03,73,False
2019-03-10,24,False
2019-03-17,37,False
2019-03-24,25,False
2019-03-31,37,False
2019-04-07,48,False
2019-04-14,25,False
2019-04-21,28,False
2019-04-28,0,False
2019-05-05,36,False
2019-05-12,36,False
2019-05-19,23,False
2019-05-26,46,False
2019-06-02,75,False
2019-06-09,25,False
2019-06-16,49,False
2019-06-23,38,False
2019-06-30,63,False
2019-07-07,50,False
2019-07-14,64,False
2019-07-21,40,False
2019-07-28,54,False
2019-08-04,30,False
2019-08-11,33,False
2019-08-18,31,False
2019-08-25,68,False
2019-09-01,24,False
2019-09-08,36,False
2019-09-15,68,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,23,False
2019-10-13,46,False
2019-10-20,33,False
2019-10-27,22,False
2019-11-03,22,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,32,False
2019-12-01,22,False
2019-12-08,23,False
2019-12-15,35,False
2019-12-22,0,False
2019-12-29,53,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,31,False
2020-02-02,0,False
2020-02-09,21,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,40,False
2020-03-08,0,False
2020-03-15,41,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,21,False
2020-04-19,0,False
2020-04-26,0,True
