date,abiti da sposo uomo,isPartial
2018-01-07,100,False
2018-01-14,66,False
2018-01-21,73,False
2018-01-28,48,False
2018-02-04,32,False
2018-02-11,49,False
2018-02-18,55,False
2018-02-25,86,False
2018-03-04,47,False
2018-03-11,56,False
2018-03-18,32,False
2018-03-25,0,False
2018-04-01,61,False
2018-04-08,65,False
2018-04-15,33,False
2018-04-22,34,False
2018-04-29,25,False
2018-05-06,40,False
2018-05-13,32,False
2018-05-20,33,False
2018-05-27,33,False
2018-06-03,66,False
2018-06-10,31,False
2018-06-17,41,False
2018-06-24,33,False
2018-07-01,24,False
2018-07-08,24,False
2018-07-15,50,False
2018-07-22,17,False
2018-07-29,0,False
2018-08-05,18,False
2018-08-12,18,False
2018-08-19,36,False
2018-08-26,58,False
2018-09-02,40,False
2018-09-09,24,False
2018-09-16,55,False
2018-09-23,32,False
2018-09-30,32,False
2018-10-07,66,False
2018-10-14,17,False
2018-10-21,48,False
2018-10-28,16,False
2018-11-04,16,False
2018-11-11,24,False
2018-11-18,48,False
2018-11-25,16,False
2018-12-02,16,False
2018-12-09,16,False
2018-12-16,51,False
2018-12-23,38,False
2018-12-30,35,False
2019-01-06,49,False
2019-01-13,64,False
2019-01-20,15,False
2019-01-27,60,False
2019-02-03,38,False
2019-02-10,23,False
2019-02-17,16,False
2019-02-24,39,False
2019-03-03,33,False
2019-03-10,32,False
2019-03-17,33,False
2019-03-24,0,False
2019-03-31,48,False
2019-04-07,48,False
2019-04-14,16,False
2019-04-21,17,False
2019-04-28,24,False
2019-05-05,16,False
2019-05-12,15,False
2019-05-19,0,False
2019-05-26,30,False
2019-06-02,16,False
2019-06-09,40,False
2019-06-16,32,False
2019-06-23,33,False
2019-06-30,0,False
2019-07-07,95,False
2019-07-14,41,False
2019-07-21,25,False
2019-07-28,0,False
2019-08-04,17,False
2019-08-11,46,False
2019-08-18,26,False
2019-08-25,16,False
2019-09-01,22,False
2019-09-08,54,False
2019-09-15,44,False
2019-09-22,37,False
2019-09-29,45,False
2019-10-06,23,False
2019-10-13,30,False
2019-10-20,15,False
2019-10-27,59,False
2019-11-03,29,False
2019-11-10,22,False
2019-11-17,15,False
2019-11-24,43,False
2019-12-01,30,False
2019-12-08,23,False
2019-12-15,15,False
2019-12-22,18,False
2019-12-29,25,False
2020-01-05,22,False
2020-01-12,42,False
2020-01-19,28,False
2020-01-26,56,False
2020-02-02,41,False
2020-02-09,57,False
2020-02-16,92,False
2020-02-23,20,False
2020-03-01,46,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,26,False
2020-04-12,26,False
2020-04-19,12,False
2020-04-26,0,True
