date,costume mariage sur mesure,isPartial
2018-01-07,95,False
2018-01-14,32,False
2018-01-21,95,False
2018-01-28,32,False
2018-02-04,48,False
2018-02-11,32,False
2018-02-18,0,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,97,False
2018-03-18,33,False
2018-03-25,49,False
2018-04-01,100,False
2018-04-08,32,False
2018-04-15,0,False
2018-04-22,33,False
2018-04-29,33,False
2018-05-06,34,False
2018-05-13,0,False
2018-05-20,34,False
2018-05-27,32,False
2018-06-03,64,False
2018-06-10,31,False
2018-06-17,0,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,50,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,36,False
2018-08-26,34,False
2018-09-02,0,False
2018-09-09,33,False
2018-09-16,33,False
2018-09-23,33,False
2018-09-30,0,False
2018-10-07,33,False
2018-10-14,33,False
2018-10-21,0,False
2018-10-28,33,False
2018-11-04,32,False
2018-11-11,32,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,33,False
2018-12-23,37,False
2018-12-30,0,False
2019-01-06,32,False
2019-01-13,33,False
2019-01-20,31,False
2019-01-27,62,False
2019-02-03,0,False
2019-02-10,33,False
2019-02-17,33,False
2019-02-24,0,False
2019-03-03,63,False
2019-03-10,0,False
2019-03-17,33,False
2019-03-24,0,False
2019-03-31,32,False
2019-04-07,66,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,31,False
2019-05-26,32,False
2019-06-02,45,False
2019-06-09,0,False
2019-06-16,32,False
2019-06-23,32,False
2019-06-30,0,False
2019-07-07,32,False
2019-07-14,33,False
2019-07-21,50,False
2019-07-28,0,False
2019-08-04,34,False
2019-08-11,34,False
2019-08-18,0,False
2019-08-25,32,False
2019-09-01,31,False
2019-09-08,62,False
2019-09-15,62,False
2019-09-22,0,False
2019-09-29,30,False
2019-10-06,0,False
2019-10-13,30,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,0,False
2019-12-08,43,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,0,False
2020-01-19,28,False
2020-01-26,28,False
2020-02-02,28,False
2020-02-09,28,False
2020-02-16,28,False
2020-02-23,27,False
2020-03-01,27,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,25,False
2020-04-12,0,True
