date,escuela magia,isPartial
2018-01-07,49,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,40,False
2018-02-04,48,False
2018-02-11,33,False
2018-02-18,16,False
2018-02-25,16,False
2018-03-04,31,False
2018-03-11,32,False
2018-03-18,41,False
2018-03-25,36,False
2018-04-01,25,False
2018-04-08,31,False
2018-04-15,24,False
2018-04-22,40,False
2018-04-29,49,False
2018-05-06,16,False
2018-05-13,49,False
2018-05-20,48,False
2018-05-27,16,False
2018-06-03,54,False
2018-06-10,61,False
2018-06-17,33,False
2018-06-24,33,False
2018-07-01,0,False
2018-07-08,16,False
2018-07-15,67,False
2018-07-22,50,False
2018-07-29,17,False
2018-08-05,34,False
2018-08-12,35,False
2018-08-19,0,False
2018-08-26,33,False
2018-09-02,32,False
2018-09-09,24,False
2018-09-16,32,False
2018-09-23,47,False
2018-09-30,47,False
2018-10-07,16,False
2018-10-14,15,False
2018-10-21,16,False
2018-10-28,16,False
2018-11-04,60,False
2018-11-11,39,False
2018-11-18,52,False
2018-11-25,39,False
2018-12-02,25,False
2018-12-09,16,False
2018-12-16,16,False
2018-12-23,94,False
2018-12-30,53,False
2019-01-06,24,False
2019-01-13,31,False
2019-01-20,22,False
2019-01-27,30,False
2019-02-03,31,False
2019-02-10,39,False
2019-02-17,47,False
2019-02-24,15,False
2019-03-03,16,False
2019-03-10,48,False
2019-03-17,48,False
2019-03-24,32,False
2019-03-31,38,False
2019-04-07,46,False
2019-04-14,24,False
2019-04-21,31,False
2019-04-28,23,False
2019-05-05,61,False
2019-05-12,46,False
2019-05-19,15,False
2019-05-26,0,False
2019-06-02,37,False
2019-06-09,15,False
2019-06-16,16,False
2019-06-23,40,False
2019-06-30,31,False
2019-07-07,39,False
2019-07-14,16,False
2019-07-21,48,False
2019-07-28,33,False
2019-08-04,33,False
2019-08-11,42,False
2019-08-18,16,False
2019-08-25,39,False
2019-09-01,67,False
2019-09-08,22,False
2019-09-15,29,False
2019-09-22,14,False
2019-09-29,36,False
2019-10-06,29,False
2019-10-13,28,False
2019-10-20,70,False
2019-10-27,14,False
2019-11-03,14,False
2019-11-10,35,False
2019-11-17,28,False
2019-11-24,41,False
2019-12-01,58,False
2019-12-08,37,False
2019-12-15,28,False
2019-12-22,40,False
2019-12-29,47,False
2020-01-05,21,False
2020-01-12,33,False
2020-01-19,26,False
2020-01-26,34,False
2020-02-02,40,False
2020-02-09,13,False
2020-02-16,20,False
2020-02-23,20,False
2020-03-01,13,False
2020-03-08,50,False
2020-03-15,37,False
2020-03-22,35,False
2020-03-29,29,False
2020-04-05,100,False
2020-04-12,21,True
