date,moustiquaire sur mesure,isPartial
2018-01-07,0,False
2018-01-14,6,False
2018-01-21,12,False
2018-01-28,12,False
2018-02-04,6,False
2018-02-11,6,False
2018-02-18,6,False
2018-02-25,12,False
2018-03-04,6,False
2018-03-11,6,False
2018-03-18,0,False
2018-03-25,18,False
2018-04-01,9,False
2018-04-08,18,False
2018-04-15,24,False
2018-04-22,21,False
2018-04-29,27,False
2018-05-06,39,False
2018-05-13,22,False
2018-05-20,35,False
2018-05-27,34,False
2018-06-03,39,False
2018-06-10,47,False
2018-06-17,44,False
2018-06-24,57,False
2018-07-01,42,False
2018-07-08,39,False
2018-07-15,22,False
2018-07-22,26,False
2018-07-29,44,False
2018-08-05,29,False
2018-08-12,11,False
2018-08-19,31,False
2018-08-26,6,False
2018-09-02,8,False
2018-09-09,9,False
2018-09-16,14,False
2018-09-23,9,False
2018-09-30,6,False
2018-10-07,6,False
2018-10-14,12,False
2018-10-21,8,False
2018-10-28,0,False
2018-11-04,12,False
2018-11-11,6,False
2018-11-18,6,False
2018-11-25,6,False
2018-12-02,6,False
2018-12-09,6,False
2018-12-16,8,False
2018-12-23,0,False
2018-12-30,9,False
2019-01-06,9,False
2019-01-13,14,False
2019-01-20,12,False
2019-01-27,6,False
2019-02-03,6,False
2019-02-10,12,False
2019-02-17,9,False
2019-02-24,16,False
2019-03-03,14,False
2019-03-10,14,False
2019-03-17,8,False
2019-03-24,25,False
2019-03-31,18,False
2019-04-07,14,False
2019-04-14,27,False
2019-04-21,27,False
2019-04-28,28,False
2019-05-05,12,False
2019-05-12,48,False
2019-05-19,43,False
2019-05-26,42,False
2019-06-02,71,False
2019-06-09,37,False
2019-06-16,46,False
2019-06-23,57,False
2019-06-30,53,False
2019-07-07,38,False
2019-07-14,29,False
2019-07-21,31,False
2019-07-28,23,False
2019-08-04,26,False
2019-08-11,19,False
2019-08-18,21,False
2019-08-25,20,False
2019-09-01,10,False
2019-09-08,6,False
2019-09-15,23,False
2019-09-22,5,False
2019-09-29,8,False
2019-10-06,7,False
2019-10-13,6,False
2019-10-20,9,False
2019-10-27,7,False
2019-11-03,5,False
2019-11-10,5,False
2019-11-17,5,False
2019-11-24,5,False
2019-12-01,5,False
2019-12-08,11,False
2019-12-15,5,False
2019-12-22,12,False
2019-12-29,6,False
2020-01-05,8,False
2020-01-12,5,False
2020-01-19,5,False
2020-01-26,5,False
2020-02-02,9,False
2020-02-09,9,False
2020-02-16,14,False
2020-02-23,15,False
2020-03-01,13,False
2020-03-08,7,False
2020-03-15,7,False
2020-03-22,11,False
2020-03-29,20,False
2020-04-05,48,False
2020-04-12,43,False
2020-04-19,47,False
2020-04-26,61,False
2020-05-03,88,False
2020-05-10,38,False
2020-05-17,91,False
2020-05-24,100,False
2020-05-31,60,False
2020-06-07,23,False
2020-06-14,36,False
2020-06-21,60,False
2020-06-28,46,False
2020-07-05,30,False
2020-07-12,31,False
2020-07-19,45,False
