date,Einbruchschutz,isPartial
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,61,False
2018-02-04,31,False
2018-02-11,46,False
2018-02-18,30,False
2018-02-25,0,False
2018-03-04,60,False
2018-03-11,60,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,100,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,33,False
2018-05-13,95,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,31,False
2018-06-10,0,False
2018-06-17,31,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,33,False
2018-07-29,0,False
2018-08-05,32,False
2018-08-12,34,False
2018-08-19,32,False
2018-08-26,31,False
2018-09-02,64,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,47,False
2018-10-07,32,False
2018-10-14,47,False
2018-10-21,64,False
2018-10-28,32,False
2018-11-04,30,False
2018-11-11,31,False
2018-11-18,30,False
2018-11-25,61,False
2018-12-02,31,False
2018-12-09,30,False
2018-12-16,32,False
2018-12-23,0,False
2018-12-30,63,False
2019-01-06,0,False
2019-01-13,29,False
2019-01-20,57,False
2019-01-27,43,False
2019-02-03,0,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,0,False
2019-03-03,72,False
2019-03-10,28,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,0,False
2019-04-07,30,False
2019-04-14,65,False
2019-04-21,31,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,58,False
2019-05-19,29,False
2019-05-26,29,False
2019-06-02,60,False
2019-06-09,31,False
2019-06-16,30,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,0,False
2019-07-21,32,False
2019-07-28,47,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,30,False
2019-08-25,30,False
2019-09-01,28,False
2019-09-08,44,False
2019-09-15,44,False
2019-09-22,29,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,56,False
2019-10-27,57,False
2019-11-03,27,False
2019-11-10,27,False
2019-11-17,56,False
2019-11-24,0,False
2019-12-01,42,False
2019-12-08,28,False
2019-12-15,0,False
2019-12-22,31,False
2019-12-29,58,False
2020-01-05,26,False
2020-01-12,50,False
2020-01-19,26,False
2020-01-26,25,False
2020-02-02,51,False
2020-02-09,38,False
2020-02-16,0,False
2020-02-23,36,False
2020-03-01,74,False
2020-03-08,36,False
2020-03-15,61,False
2020-03-22,70,False
2020-03-29,48,False
2020-04-05,40,False
2020-04-12,25,False
2020-04-19,37,False
2020-04-26,74,False
2020-05-03,50,False
2020-05-10,74,False
2020-05-17,40,False
2020-05-24,25,False
2020-05-31,76,False
2020-06-07,25,False
2020-06-14,24,False
2020-06-21,64,False
2020-06-28,51,False
2020-07-05,53,False
