date,panneau solaire souple,isPartial
2018-01-07,21,False
2018-01-14,20,False
2018-01-21,41,False
2018-01-28,0,False
2018-02-04,51,False
2018-02-11,31,False
2018-02-18,21,False
2018-02-25,42,False
2018-03-04,21,False
2018-03-11,21,False
2018-03-18,42,False
2018-03-25,32,False
2018-04-01,43,False
2018-04-08,42,False
2018-04-15,68,False
2018-04-22,22,False
2018-04-29,22,False
2018-05-06,22,False
2018-05-13,32,False
2018-05-20,0,False
2018-05-27,42,False
2018-06-03,42,False
2018-06-10,30,False
2018-06-17,64,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,43,False
2018-07-15,46,False
2018-07-22,23,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,36,False
2018-08-19,57,False
2018-08-26,0,False
2018-09-02,22,False
2018-09-09,21,False
2018-09-16,43,False
2018-09-23,0,False
2018-09-30,32,False
2018-10-07,22,False
2018-10-14,21,False
2018-10-21,22,False
2018-10-28,22,False
2018-11-04,41,False
2018-11-11,31,False
2018-11-18,41,False
2018-11-25,0,False
2018-12-02,42,False
2018-12-09,21,False
2018-12-16,0,False
2018-12-23,24,False
2018-12-30,23,False
2019-01-06,31,False
2019-01-13,21,False
2019-01-20,20,False
2019-01-27,20,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,43,False
2019-02-24,85,False
2019-03-03,41,False
2019-03-10,31,False
2019-03-17,32,False
2019-03-24,43,False
2019-03-31,73,False
2019-04-07,74,False
2019-04-14,65,False
2019-04-21,32,False
2019-04-28,63,False
2019-05-05,41,False
2019-05-12,21,False
2019-05-19,20,False
2019-05-26,63,False
2019-06-02,48,False
2019-06-09,70,False
2019-06-16,31,False
2019-06-23,41,False
2019-06-30,52,False
2019-07-07,62,False
2019-07-14,65,False
2019-07-21,22,False
2019-07-28,45,False
2019-08-04,22,False
2019-08-11,22,False
2019-08-18,33,False
2019-08-25,21,False
2019-09-01,40,False
2019-09-08,20,False
2019-09-15,60,False
2019-09-22,0,False
2019-09-29,38,False
2019-10-06,19,False
2019-10-13,68,False
2019-10-20,39,False
2019-10-27,19,False
2019-11-03,19,False
2019-11-10,19,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,19,False
2019-12-08,37,False
2019-12-15,0,False
2019-12-22,42,False
2019-12-29,30,False
2020-01-05,18,False
2020-01-12,18,False
2020-01-19,55,False
2020-01-26,45,False
2020-02-02,27,False
2020-02-09,36,False
2020-02-16,18,False
2020-02-23,35,False
2020-03-01,35,False
2020-03-08,26,False
2020-03-15,25,False
2020-03-22,32,False
2020-03-29,16,False
2020-04-05,16,False
2020-04-12,16,False
2020-04-19,32,False
2020-04-26,100,False
2020-05-03,23,False
2020-05-10,33,False
2020-05-17,20,True
