date,Hochzeitstorte,isPartial
2018-01-07,17,False
2018-01-14,25,False
2018-01-21,17,False
2018-01-28,17,False
2018-02-04,36,False
2018-02-11,17,False
2018-02-18,51,False
2018-02-25,51,False
2018-03-04,17,False
2018-03-11,51,False
2018-03-18,17,False
2018-03-25,18,False
2018-04-01,19,False
2018-04-08,36,False
2018-04-15,19,False
2018-04-22,36,False
2018-04-29,28,False
2018-05-06,19,False
2018-05-13,36,False
2018-05-20,19,False
2018-05-27,52,False
2018-06-03,17,False
2018-06-10,17,False
2018-06-17,34,False
2018-06-24,17,False
2018-07-01,17,False
2018-07-08,51,False
2018-07-15,37,False
2018-07-22,53,False
2018-07-29,18,False
2018-08-05,35,False
2018-08-12,36,False
2018-08-19,17,False
2018-08-26,35,False
2018-09-02,0,False
2018-09-09,18,False
2018-09-16,35,False
2018-09-23,70,False
2018-09-30,17,False
2018-10-07,17,False
2018-10-14,18,False
2018-10-21,18,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,34,False
2018-11-18,16,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,16,False
2018-12-16,0,False
2018-12-23,18,False
2018-12-30,0,False
2019-01-06,24,False
2019-01-13,47,False
2019-01-20,23,False
2019-01-27,16,False
2019-02-03,33,False
2019-02-10,16,False
2019-02-17,0,False
2019-02-24,16,False
2019-03-03,46,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,16,False
2019-03-31,26,False
2019-04-07,16,False
2019-04-14,27,False
2019-04-21,17,False
2019-04-28,32,False
2019-05-05,16,False
2019-05-12,49,False
2019-05-19,24,False
2019-05-26,32,False
2019-06-02,16,False
2019-06-09,16,False
2019-06-16,16,False
2019-06-23,17,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,17,False
2019-07-21,17,False
2019-07-28,16,False
2019-08-04,16,False
2019-08-11,15,False
2019-08-18,47,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,16,False
2019-09-15,47,False
2019-09-22,46,False
2019-09-29,30,False
2019-10-06,32,False
2019-10-13,15,False
2019-10-20,30,False
2019-10-27,15,False
2019-11-03,0,False
2019-11-10,44,False
2019-11-17,14,False
2019-11-24,14,False
2019-12-01,21,False
2019-12-08,29,False
2019-12-15,15,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,13,False
2020-01-19,14,False
2020-01-26,34,False
2020-02-02,14,False
2020-02-09,13,False
2020-02-16,33,False
2020-02-23,0,False
2020-03-01,27,False
2020-03-08,13,False
2020-03-15,12,False
2020-03-22,0,False
2020-03-29,11,False
2020-04-05,0,False
2020-04-12,100,True
