date,acconciature uomo,isPartial
2018-01-07,38,False
2018-01-14,50,False
2018-01-21,12,False
2018-01-28,12,False
2018-02-04,49,False
2018-02-11,75,False
2018-02-18,36,False
2018-02-25,71,False
2018-03-04,84,False
2018-03-11,37,False
2018-03-18,37,False
2018-03-25,52,False
2018-04-01,80,False
2018-04-08,12,False
2018-04-15,38,False
2018-04-22,26,False
2018-04-29,38,False
2018-05-06,25,False
2018-05-13,75,False
2018-05-20,50,False
2018-05-27,50,False
2018-06-03,63,False
2018-06-10,84,False
2018-06-17,49,False
2018-06-24,63,False
2018-07-01,49,False
2018-07-08,25,False
2018-07-15,38,False
2018-07-22,38,False
2018-07-29,65,False
2018-08-05,27,False
2018-08-12,98,False
2018-08-19,83,False
2018-08-26,51,False
2018-09-02,49,False
2018-09-09,25,False
2018-09-16,72,False
2018-09-23,49,False
2018-09-30,37,False
2018-10-07,0,False
2018-10-14,76,False
2018-10-21,25,False
2018-10-28,36,False
2018-11-04,12,False
2018-11-11,37,False
2018-11-18,24,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,38,False
2018-12-16,78,False
2018-12-23,29,False
2018-12-30,67,False
2019-01-06,25,False
2019-01-13,36,False
2019-01-20,23,False
2019-01-27,34,False
2019-02-03,59,False
2019-02-10,47,False
2019-02-17,49,False
2019-02-24,60,False
2019-03-03,50,False
2019-03-10,25,False
2019-03-17,50,False
2019-03-24,50,False
2019-03-31,25,False
2019-04-07,24,False
2019-04-14,38,False
2019-04-21,0,False
2019-04-28,37,False
2019-05-05,36,False
2019-05-12,47,False
2019-05-19,70,False
2019-05-26,69,False
2019-06-02,24,False
2019-06-09,37,False
2019-06-16,62,False
2019-06-23,0,False
2019-06-30,25,False
2019-07-07,36,False
2019-07-14,100,False
2019-07-21,38,False
2019-07-28,13,False
2019-08-04,39,False
2019-08-11,42,False
2019-08-18,92,False
2019-08-25,60,False
2019-09-01,34,False
2019-09-08,47,False
2019-09-15,34,False
2019-09-22,23,False
2019-09-29,35,False
2019-10-06,12,False
2019-10-13,35,False
2019-10-20,11,False
2019-10-27,45,False
2019-11-03,33,False
2019-11-10,33,False
2019-11-17,33,False
2019-11-24,22,False
2019-12-01,23,False
2019-12-08,69,False
2019-12-15,0,False
2019-12-22,94,False
2019-12-29,39,False
2020-01-05,23,False
2020-01-12,21,False
2020-01-19,65,False
2020-01-26,64,False
2020-02-02,53,False
2020-02-09,33,False
2020-02-16,43,False
2020-02-23,50,False
2020-03-01,10,False
2020-03-08,10,False
2020-03-15,49,False
2020-03-22,18,False
2020-03-29,9,False
2020-04-05,59,False
2020-04-12,79,False
2020-04-19,19,False
2020-04-26,65,True
