date,magliette personalizzate,isPartial
2018-01-07,0,False
2018-01-14,24,False
2018-01-21,0,False
2018-01-28,24,False
2018-02-04,35,False
2018-02-11,26,False
2018-02-18,24,False
2018-02-25,35,False
2018-03-04,49,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,26,False
2018-04-15,25,False
2018-04-22,0,False
2018-04-29,100,False
2018-05-06,24,False
2018-05-13,51,False
2018-05-20,0,False
2018-05-27,65,False
2018-06-03,51,False
2018-06-10,48,False
2018-06-17,24,False
2018-06-24,50,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,0,False
2018-07-22,26,False
2018-07-29,0,False
2018-08-05,27,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,27,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,24,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,25,False
2018-11-11,53,False
2018-11-18,51,False
2018-11-25,51,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,26,False
2019-01-06,0,False
2019-01-13,24,False
2019-01-20,23,False
2019-01-27,70,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,36,False
2019-02-24,48,False
2019-03-03,25,False
2019-03-10,71,False
2019-03-17,25,False
2019-03-24,38,False
2019-03-31,0,False
2019-04-07,49,False
2019-04-14,65,False
2019-04-21,26,False
2019-04-28,73,False
2019-05-05,24,False
2019-05-12,0,False
2019-05-19,23,False
2019-05-26,23,False
2019-06-02,0,False
2019-06-09,52,False
2019-06-16,51,False
2019-06-23,39,False
2019-06-30,27,False
2019-07-07,26,False
2019-07-14,0,False
2019-07-21,27,False
2019-07-28,53,False
2019-08-04,28,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,37,False
2019-09-01,69,False
2019-09-08,24,False
2019-09-15,34,False
2019-09-22,44,False
2019-09-29,22,False
2019-10-06,47,False
2019-10-13,24,False
2019-10-20,23,False
2019-10-27,45,False
2019-11-03,21,False
2019-11-10,0,False
2019-11-17,22,False
2019-11-24,0,False
2019-12-01,24,False
2019-12-08,23,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,34,False
2020-01-12,22,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,22,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,19,False
2020-03-22,0,False
2020-03-29,18,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,18,False
2020-04-26,62,True
