date,magliette personalizzate,isPartial
2018-01-07,19,False
2018-01-14,19,False
2018-01-21,38,False
2018-01-28,18,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,29,False
2018-02-25,19,False
2018-03-04,29,False
2018-03-11,19,False
2018-03-18,40,False
2018-03-25,20,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,21,False
2018-04-22,63,False
2018-04-29,41,False
2018-05-06,20,False
2018-05-13,40,False
2018-05-20,20,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,20,False
2018-06-17,20,False
2018-06-24,100,False
2018-07-01,29,False
2018-07-08,20,False
2018-07-15,30,False
2018-07-22,0,False
2018-07-29,30,False
2018-08-05,0,False
2018-08-12,33,False
2018-08-19,0,False
2018-08-26,38,False
2018-09-02,29,False
2018-09-09,20,False
2018-09-16,0,False
2018-09-23,20,False
2018-09-30,20,False
2018-10-07,62,False
2018-10-14,21,False
2018-10-21,20,False
2018-10-28,19,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,20,False
2018-12-02,52,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,19,False
2019-01-13,0,False
2019-01-20,18,False
2019-01-27,27,False
2019-02-03,18,False
2019-02-10,28,False
2019-02-17,38,False
2019-02-24,28,False
2019-03-03,38,False
2019-03-10,0,False
2019-03-17,39,False
2019-03-24,39,False
2019-03-31,0,False
2019-04-07,19,False
2019-04-14,39,False
2019-04-21,39,False
2019-04-28,28,False
2019-05-05,18,False
2019-05-12,53,False
2019-05-19,36,False
2019-05-26,18,False
2019-06-02,57,False
2019-06-09,19,False
2019-06-16,47,False
2019-06-23,29,False
2019-06-30,19,False
2019-07-07,29,False
2019-07-14,20,False
2019-07-21,40,False
2019-07-28,60,False
2019-08-04,21,False
2019-08-11,0,False
2019-08-18,41,False
2019-08-25,55,False
2019-09-01,18,False
2019-09-08,19,False
2019-09-15,37,False
2019-09-22,46,False
2019-09-29,18,False
2019-10-06,18,False
2019-10-13,27,False
2019-10-20,18,False
2019-10-27,18,False
2019-11-03,17,False
2019-11-10,17,False
2019-11-17,35,False
2019-11-24,35,False
2019-12-01,55,False
2019-12-08,18,False
2019-12-15,27,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,0,False
2020-01-12,25,False
2020-01-19,0,False
2020-01-26,58,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,32,False
2020-03-01,0,False
2020-03-08,15,False
2020-03-15,30,False
2020-03-22,28,False
2020-03-29,15,False
2020-04-05,15,False
2020-04-12,0,False
2020-04-19,37,False
2020-04-26,0,True
