date,addobbi floreali,isPartial
2018-01-07,64,False
2018-01-14,75,False
2018-01-21,100,False
2018-01-28,50,False
2018-02-04,25,False
2018-02-11,63,False
2018-02-18,0,False
2018-02-25,72,False
2018-03-04,36,False
2018-03-11,12,False
2018-03-18,100,False
2018-03-25,53,False
2018-04-01,0,False
2018-04-08,62,False
2018-04-15,26,False
2018-04-22,40,False
2018-04-29,13,False
2018-05-06,76,False
2018-05-13,50,False
2018-05-20,63,False
2018-05-27,63,False
2018-06-03,25,False
2018-06-10,12,False
2018-06-17,0,False
2018-06-24,25,False
2018-07-01,50,False
2018-07-08,0,False
2018-07-15,26,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,27,False
2018-08-12,28,False
2018-08-19,56,False
2018-08-26,39,False
2018-09-02,49,False
2018-09-09,24,False
2018-09-16,49,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,88,False
2018-10-14,0,False
2018-10-21,37,False
2018-10-28,12,False
2018-11-04,0,False
2018-11-11,25,False
2018-11-18,25,False
2018-11-25,12,False
2018-12-02,38,False
2018-12-09,13,False
2018-12-16,13,False
2018-12-23,30,False
2018-12-30,14,False
2019-01-06,51,False
2019-01-13,61,False
2019-01-20,83,False
2019-01-27,58,False
2019-02-03,47,False
2019-02-10,48,False
2019-02-17,37,False
2019-02-24,36,False
2019-03-03,0,False
2019-03-10,37,False
2019-03-17,25,False
2019-03-24,76,False
2019-03-31,38,False
2019-04-07,49,False
2019-04-14,38,False
2019-04-21,27,False
2019-04-28,50,False
2019-05-05,12,False
2019-05-12,36,False
2019-05-19,36,False
2019-05-26,46,False
2019-06-02,37,False
2019-06-09,12,False
2019-06-16,25,False
2019-06-23,26,False
2019-06-30,26,False
2019-07-07,24,False
2019-07-14,0,False
2019-07-21,64,False
2019-07-28,26,False
2019-08-04,40,False
2019-08-11,0,False
2019-08-18,40,False
2019-08-25,12,False
2019-09-01,11,False
2019-09-08,24,False
2019-09-15,47,False
2019-09-22,46,False
2019-09-29,23,False
2019-10-06,59,False
2019-10-13,35,False
2019-10-20,0,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,23,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,35,False
2019-12-08,35,False
2019-12-15,12,False
2019-12-22,13,False
2019-12-29,0,False
2020-01-05,34,False
2020-01-12,11,False
2020-01-19,11,False
2020-01-26,0,False
2020-02-02,11,False
2020-02-09,44,False
2020-02-16,33,False
2020-02-23,10,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,10,False
2020-04-12,10,False
2020-04-19,9,False
2020-04-26,16,True
