date,chauffage solaire piscine,isPartial
2018-01-07,4,False
2018-01-14,0,False
2018-01-21,4,False
2018-01-28,4,False
2018-02-04,8,False
2018-02-11,6,False
2018-02-18,5,False
2018-02-25,4,False
2018-03-04,3,False
2018-03-11,3,False
2018-03-18,6,False
2018-03-25,8,False
2018-04-01,11,False
2018-04-08,15,False
2018-04-15,18,False
2018-04-22,13,False
2018-04-29,18,False
2018-05-06,28,False
2018-05-13,11,False
2018-05-20,38,False
2018-05-27,14,False
2018-06-03,23,False
2018-06-10,12,False
2018-06-17,12,False
2018-06-24,25,False
2018-07-01,16,False
2018-07-08,24,False
2018-07-15,13,False
2018-07-22,9,False
2018-07-29,7,False
2018-08-05,9,False
2018-08-12,7,False
2018-08-19,11,False
2018-08-26,5,False
2018-09-02,8,False
2018-09-09,12,False
2018-09-16,6,False
2018-09-23,6,False
2018-09-30,6,False
2018-10-07,3,False
2018-10-14,5,False
2018-10-21,4,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,7,False
2018-11-18,0,False
2018-11-25,6,False
2018-12-02,3,False
2018-12-09,3,False
2018-12-16,4,False
2018-12-23,3,False
2018-12-30,3,False
2019-01-06,3,False
2019-01-13,7,False
2019-01-20,3,False
2019-01-27,4,False
2019-02-03,4,False
2019-02-10,3,False
2019-02-17,6,False
2019-02-24,4,False
2019-03-03,7,False
2019-03-10,7,False
2019-03-17,5,False
2019-03-24,7,False
2019-03-31,13,False
2019-04-07,7,False
2019-04-14,10,False
2019-04-21,16,False
2019-04-28,15,False
2019-05-05,10,False
2019-05-12,14,False
2019-05-19,18,False
2019-05-26,19,False
2019-06-02,23,False
2019-06-09,16,False
2019-06-16,18,False
2019-06-23,36,False
2019-06-30,16,False
2019-07-07,16,False
2019-07-14,13,False
2019-07-21,9,False
2019-07-28,8,False
2019-08-04,8,False
2019-08-11,16,False
2019-08-18,10,False
2019-08-25,14,False
2019-09-01,9,False
2019-09-08,6,False
2019-09-15,8,False
2019-09-22,4,False
2019-09-29,8,False
2019-10-06,3,False
2019-10-13,3,False
2019-10-20,3,False
2019-10-27,8,False
2019-11-03,2,False
2019-11-10,3,False
2019-11-17,2,False
2019-11-24,2,False
2019-12-01,3,False
2019-12-08,4,False
2019-12-15,3,False
2019-12-22,4,False
2019-12-29,5,False
2020-01-05,5,False
2020-01-12,5,False
2020-01-19,4,False
2020-01-26,5,False
2020-02-02,3,False
2020-02-09,2,False
2020-02-16,5,False
2020-02-23,4,False
2020-03-01,7,False
2020-03-08,3,False
2020-03-15,7,False
2020-03-22,4,False
2020-03-29,8,False
2020-04-05,33,False
2020-04-12,39,False
2020-04-19,30,False
2020-04-26,38,False
2020-05-03,39,False
2020-05-10,29,False
2020-05-17,100,True
