date,Haustür,isPartial
2018-01-07,24,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,24,False
2018-02-04,49,False
2018-02-11,0,False
2018-02-18,25,False
2018-02-25,26,False
2018-03-04,24,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,26,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,29,False
2018-04-29,0,False
2018-05-06,26,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,49,False
2018-06-10,24,False
2018-06-17,0,False
2018-06-24,25,False
2018-07-01,0,False
2018-07-08,25,False
2018-07-15,0,False
2018-07-22,26,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,74,False
2018-09-23,0,False
2018-09-30,27,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,27,False
2018-11-04,26,False
2018-11-11,30,False
2018-11-18,31,False
2018-11-25,61,False
2018-12-02,58,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,50,False
2019-01-06,0,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,45,False
2019-02-03,46,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,0,False
2019-03-03,24,False
2019-03-10,0,False
2019-03-17,23,False
2019-03-24,24,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,51,False
2019-04-21,25,False
2019-04-28,0,False
2019-05-05,45,False
2019-05-12,23,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,24,False
2019-06-16,0,False
2019-06-23,24,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,24,False
2019-07-21,50,False
2019-07-28,24,False
2019-08-04,0,False
2019-08-11,49,False
2019-08-18,47,False
2019-08-25,47,False
2019-09-01,23,False
2019-09-08,24,False
2019-09-15,100,False
2019-09-22,24,False
2019-09-29,46,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,26,False
2019-10-27,25,False
2019-11-03,49,False
2019-11-10,24,False
2019-11-17,25,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,25,False
2019-12-15,52,False
2019-12-22,28,False
2019-12-29,22,False
2020-01-05,58,False
2020-01-12,21,False
2020-01-19,23,False
2020-01-26,22,False
2020-02-02,41,False
2020-02-09,21,False
2020-02-16,24,False
2020-02-23,0,False
2020-03-01,23,False
2020-03-08,22,False
2020-03-15,0,False
2020-03-22,53,False
2020-03-29,18,False
2020-04-05,20,False
2020-04-12,19,False
2020-04-19,38,False
2020-04-26,57,False
2020-05-03,20,False
2020-05-10,0,False
2020-05-17,43,False
2020-05-24,60,False
2020-05-31,0,False
2020-06-07,43,False
2020-06-14,39,False
2020-06-21,44,False
2020-06-28,22,False
2020-07-05,0,False
