date,Heizung wird nicht warm,isPartial
2018-01-07,42,False
2018-01-14,50,False
2018-01-21,32,False
2018-01-28,24,False
2018-02-04,58,False
2018-02-11,25,False
2018-02-18,44,False
2018-02-25,85,False
2018-03-04,20,False
2018-03-11,6,False
2018-03-18,26,False
2018-03-25,19,False
2018-04-01,11,False
2018-04-08,12,False
2018-04-15,10,False
2018-04-22,5,False
2018-04-29,5,False
2018-05-06,10,False
2018-05-13,7,False
2018-05-20,13,False
2018-05-27,5,False
2018-06-03,0,False
2018-06-10,5,False
2018-06-17,10,False
2018-06-24,5,False
2018-07-01,10,False
2018-07-08,5,False
2018-07-15,5,False
2018-07-22,5,False
2018-07-29,5,False
2018-08-05,5,False
2018-08-12,5,False
2018-08-19,10,False
2018-08-26,15,False
2018-09-02,17,False
2018-09-09,10,False
2018-09-16,12,False
2018-09-23,45,False
2018-09-30,58,False
2018-10-07,23,False
2018-10-14,15,False
2018-10-21,62,False
2018-10-28,69,False
2018-11-04,42,False
2018-11-11,47,False
2018-11-18,92,False
2018-11-25,58,False
2018-12-02,51,False
2018-12-09,40,False
2018-12-16,48,False
2018-12-23,41,False
2018-12-30,54,False
2019-01-06,35,False
2019-01-13,34,False
2019-01-20,100,False
2019-01-27,54,False
2019-02-03,23,False
2019-02-10,25,False
2019-02-17,14,False
2019-02-24,19,False
2019-03-03,21,False
2019-03-10,14,False
2019-03-17,10,False
2019-03-24,17,False
2019-03-31,13,False
2019-04-07,8,False
2019-04-14,13,False
2019-04-21,7,False
2019-04-28,9,False
2019-05-05,6,False
2019-05-12,11,False
2019-05-19,7,False
2019-05-26,7,False
2019-06-02,9,False
2019-06-09,5,False
2019-06-16,10,False
2019-06-23,5,False
2019-06-30,5,False
2019-07-07,5,False
2019-07-14,10,False
2019-07-21,0,False
2019-07-28,10,False
2019-08-04,5,False
2019-08-11,9,False
2019-08-18,15,False
2019-08-25,5,False
2019-09-01,14,False
2019-09-08,19,False
2019-09-15,19,False
2019-09-22,29,False
2019-09-29,58,False
2019-10-06,62,False
2019-10-13,21,False
2019-10-20,27,False
2019-10-27,93,False
2019-11-03,70,False
2019-11-10,72,False
2019-11-17,72,False
2019-11-24,34,False
2019-12-01,60,False
2019-12-08,51,False
2019-12-15,28,False
2019-12-22,42,False
2019-12-29,58,False
2020-01-05,38,False
2020-01-12,28,False
2020-01-19,42,False
2020-01-26,33,False
2020-02-02,22,False
2020-02-09,24,False
2020-02-16,19,False
2020-02-23,18,False
2020-03-01,22,False
2020-03-08,13,False
2020-03-15,10,False
2020-03-22,12,False
2020-03-29,16,False
2020-04-05,10,False
2020-04-12,9,False
2020-04-19,9,False
2020-04-26,10,False
2020-05-03,7,False
2020-05-10,14,False
