date,Heizung wird nicht warm,isPartial
2018-01-07,35,False
2018-01-14,34,False
2018-01-21,22,False
2018-01-28,26,False
2018-02-04,40,False
2018-02-11,20,False
2018-02-18,26,False
2018-02-25,100,False
2018-03-04,18,False
2018-03-11,13,False
2018-03-18,18,False
2018-03-25,14,False
2018-04-01,21,False
2018-04-08,26,False
2018-04-15,13,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,13,False
2018-05-20,14,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,13,False
2018-06-24,13,False
2018-07-01,13,False
2018-07-08,13,False
2018-07-15,14,False
2018-07-22,14,False
2018-07-29,14,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,20,False
2018-09-02,13,False
2018-09-09,13,False
2018-09-16,33,False
2018-09-23,45,False
2018-09-30,40,False
2018-10-07,22,False
2018-10-14,14,False
2018-10-21,49,False
2018-10-28,61,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,54,False
2018-11-25,42,False
2018-12-02,42,False
2018-12-09,51,False
2018-12-16,39,False
2018-12-23,35,False
2018-12-30,14,False
2019-01-06,31,False
2019-01-13,44,False
2019-01-20,85,False
2019-01-27,36,False
2019-02-03,32,False
2019-02-10,25,False
2019-02-17,12,False
2019-02-24,0,False
2019-03-03,37,False
2019-03-10,20,False
2019-03-17,19,False
2019-03-24,38,False
2019-03-31,25,False
2019-04-07,13,False
2019-04-14,14,False
2019-04-21,13,False
2019-04-28,13,False
2019-05-05,12,False
2019-05-12,25,False
2019-05-19,12,False
2019-05-26,19,False
2019-06-02,0,False
2019-06-09,13,False
2019-06-16,13,False
2019-06-23,26,False
2019-06-30,12,False
2019-07-07,12,False
2019-07-14,13,False
2019-07-21,14,False
2019-07-28,14,False
2019-08-04,0,False
2019-08-11,13,False
2019-08-18,0,False
2019-08-25,13,False
2019-09-01,12,False
2019-09-08,13,False
2019-09-15,25,False
2019-09-22,12,False
2019-09-29,45,False
2019-10-06,40,False
2019-10-13,37,False
2019-10-20,25,False
2019-10-27,60,False
2019-11-03,31,False
2019-11-10,66,False
2019-11-17,80,False
2019-11-24,26,False
2019-12-01,39,False
2019-12-08,46,False
2019-12-15,16,False
2019-12-22,34,False
2019-12-29,30,False
2020-01-05,26,False
2020-01-12,29,False
2020-01-19,37,False
2020-01-26,22,False
2020-02-02,25,False
2020-02-09,21,False
2020-02-16,11,False
2020-02-23,11,False
2020-03-01,21,False
2020-03-08,10,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,25,False
2020-04-05,0,False
2020-04-12,10,False
2020-04-19,10,False
2020-04-26,0,False
2020-05-03,10,False
2020-05-10,13,False
