date,psychologie,isPartial
2018-01-07,74,False
2018-01-14,94,False
2018-01-21,87,False
2018-01-28,82,False
2018-02-04,78,False
2018-02-11,80,False
2018-02-18,51,False
2018-02-25,72,False
2018-03-04,78,False
2018-03-11,85,False
2018-03-18,89,False
2018-03-25,86,False
2018-04-01,85,False
2018-04-08,78,False
2018-04-15,86,False
2018-04-22,75,False
2018-04-29,89,False
2018-05-06,67,False
2018-05-13,100,False
2018-05-20,98,False
2018-05-27,88,False
2018-06-03,75,False
2018-06-10,82,False
2018-06-17,70,False
2018-06-24,60,False
2018-07-01,65,False
2018-07-08,82,False
2018-07-15,72,False
2018-07-22,59,False
2018-07-29,83,False
2018-08-05,49,False
2018-08-12,75,False
2018-08-19,58,False
2018-08-26,68,False
2018-09-02,94,False
2018-09-09,80,False
2018-09-16,83,False
2018-09-23,80,False
2018-09-30,98,False
2018-10-07,84,False
2018-10-14,70,False
2018-10-21,72,False
2018-10-28,73,False
2018-11-04,86,False
2018-11-11,87,False
2018-11-18,84,False
2018-11-25,84,False
2018-12-02,52,False
2018-12-09,76,False
2018-12-16,61,False
2018-12-23,46,False
2018-12-30,69,False
2019-01-06,84,False
2019-01-13,68,False
2019-01-20,82,False
2019-01-27,91,False
2019-02-03,72,False
2019-02-10,69,False
2019-02-17,73,False
2019-02-24,67,False
2019-03-03,69,False
2019-03-10,87,False
2019-03-17,70,False
2019-03-24,68,False
2019-03-31,72,False
2019-04-07,60,False
2019-04-14,78,False
2019-04-21,53,False
2019-04-28,77,False
2019-05-05,68,False
2019-05-12,71,False
2019-05-19,86,False
2019-05-26,59,False
2019-06-02,72,False
2019-06-09,73,False
2019-06-16,66,False
2019-06-23,55,False
2019-06-30,58,False
2019-07-07,78,False
2019-07-14,73,False
2019-07-21,61,False
2019-07-28,53,False
2019-08-04,88,False
2019-08-11,65,False
2019-08-18,80,False
2019-08-25,67,False
2019-09-01,82,False
2019-09-08,89,False
2019-09-15,99,False
2019-09-22,78,False
2019-09-29,72,False
2019-10-06,81,False
2019-10-13,86,False
2019-10-20,78,False
2019-10-27,57,False
2019-11-03,75,False
2019-11-10,74,False
2019-11-17,77,False
2019-11-24,70,False
2019-12-01,65,False
2019-12-08,64,False
2019-12-15,56,False
2019-12-22,48,False
2019-12-29,47,False
2020-01-05,85,False
2020-01-12,73,False
2020-01-19,76,False
2020-01-26,76,False
2020-02-02,70,False
2020-02-09,87,False
2020-02-16,88,False
2020-02-23,71,False
2020-03-01,77,False
2020-03-08,83,False
2020-03-15,43,False
2020-03-22,64,False
2020-03-29,79,False
2020-04-05,59,False
2020-04-12,80,False
2020-04-19,96,False
2020-04-26,82,False
2020-05-03,66,False
2020-05-10,72,False
2020-05-17,99,True
