date,agencias eventos,isPartial
2018-01-07,67,False
2018-01-14,22,False
2018-01-21,55,False
2018-01-28,44,False
2018-02-04,22,False
2018-02-11,22,False
2018-02-18,45,False
2018-02-25,22,False
2018-03-04,32,False
2018-03-11,22,False
2018-03-18,0,False
2018-03-25,100,False
2018-04-01,34,False
2018-04-08,63,False
2018-04-15,44,False
2018-04-22,54,False
2018-04-29,34,False
2018-05-06,32,False
2018-05-13,22,False
2018-05-20,44,False
2018-05-27,54,False
2018-06-03,63,False
2018-06-10,42,False
2018-06-17,45,False
2018-06-24,45,False
2018-07-01,23,False
2018-07-08,44,False
2018-07-15,23,False
2018-07-22,23,False
2018-07-29,0,False
2018-08-05,46,False
2018-08-12,24,False
2018-08-19,0,False
2018-08-26,23,False
2018-09-02,66,False
2018-09-09,54,False
2018-09-16,64,False
2018-09-23,53,False
2018-09-30,22,False
2018-10-07,66,False
2018-10-14,84,False
2018-10-21,65,False
2018-10-28,22,False
2018-11-04,62,False
2018-11-11,32,False
2018-11-18,21,False
2018-11-25,32,False
2018-12-02,45,False
2018-12-09,56,False
2018-12-16,45,False
2018-12-23,26,False
2018-12-30,0,False
2019-01-06,44,False
2019-01-13,21,False
2019-01-20,20,False
2019-01-27,30,False
2019-02-03,32,False
2019-02-10,53,False
2019-02-17,32,False
2019-02-24,85,False
2019-03-03,44,False
2019-03-10,55,False
2019-03-17,22,False
2019-03-24,33,False
2019-03-31,0,False
2019-04-07,83,False
2019-04-14,45,False
2019-04-21,53,False
2019-04-28,43,False
2019-05-05,62,False
2019-05-12,21,False
2019-05-19,31,False
2019-05-26,41,False
2019-06-02,30,False
2019-06-09,31,False
2019-06-16,32,False
2019-06-23,44,False
2019-06-30,32,False
2019-07-07,21,False
2019-07-14,22,False
2019-07-21,22,False
2019-07-28,23,False
2019-08-04,23,False
2019-08-11,46,False
2019-08-18,44,False
2019-08-25,84,False
2019-09-01,40,False
2019-09-08,40,False
2019-09-15,39,False
2019-09-22,39,False
2019-09-29,49,False
2019-10-06,49,False
2019-10-13,19,False
2019-10-20,38,False
2019-10-27,19,False
2019-11-03,29,False
2019-11-10,19,False
2019-11-17,56,False
2019-11-24,19,False
2019-12-01,78,False
2019-12-08,20,False
2019-12-15,19,False
2019-12-22,22,False
2019-12-29,0,False
2020-01-05,39,False
2020-01-12,36,False
2020-01-19,44,False
2020-01-26,74,False
2020-02-02,27,False
2020-02-09,19,False
2020-02-16,0,False
2020-02-23,54,False
2020-03-01,53,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,24,False
2020-04-05,17,False
2020-04-12,57,True
