date,Notario,isPartial
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,22,False
2018-01-28,22,False
2018-02-04,23,False
2018-02-11,33,False
2018-02-18,23,False
2018-02-25,46,False
2018-03-04,34,False
2018-03-11,23,False
2018-03-18,67,False
2018-03-25,32,False
2018-04-01,54,False
2018-04-08,22,False
2018-04-15,35,False
2018-04-22,43,False
2018-04-29,46,False
2018-05-06,67,False
2018-05-13,22,False
2018-05-20,23,False
2018-05-27,22,False
2018-06-03,22,False
2018-06-10,32,False
2018-06-17,22,False
2018-06-24,45,False
2018-07-01,21,False
2018-07-08,61,False
2018-07-15,39,False
2018-07-22,39,False
2018-07-29,19,False
2018-08-05,27,False
2018-08-12,18,False
2018-08-19,28,False
2018-08-26,100,False
2018-09-02,21,False
2018-09-09,43,False
2018-09-16,22,False
2018-09-23,33,False
2018-09-30,44,False
2018-10-07,45,False
2018-10-14,45,False
2018-10-21,46,False
2018-10-28,23,False
2018-11-04,44,False
2018-11-11,23,False
2018-11-18,43,False
2018-11-25,44,False
2018-12-02,22,False
2018-12-09,23,False
2018-12-16,91,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,22,False
2019-01-13,33,False
2019-01-20,40,False
2019-01-27,0,False
2019-02-03,22,False
2019-02-10,22,False
2019-02-17,0,False
2019-02-24,23,False
2019-03-03,22,False
2019-03-10,22,False
2019-03-17,44,False
2019-03-24,23,False
2019-03-31,66,False
2019-04-07,66,False
2019-04-14,20,False
2019-04-21,0,False
2019-04-28,21,False
2019-05-05,22,False
2019-05-12,21,False
2019-05-19,21,False
2019-05-26,21,False
2019-06-02,20,False
2019-06-09,31,False
2019-06-16,44,False
2019-06-23,74,False
2019-06-30,20,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,19,False
2019-07-28,29,False
2019-08-04,18,False
2019-08-11,17,False
2019-08-18,17,False
2019-08-25,35,False
2019-09-01,0,False
2019-09-08,61,False
2019-09-15,51,False
2019-09-22,30,False
2019-09-29,20,False
2019-10-06,30,False
2019-10-13,39,False
2019-10-20,39,False
2019-10-27,20,False
2019-11-03,39,False
2019-11-10,29,False
2019-11-17,40,False
2019-11-24,19,False
2019-12-01,49,False
2019-12-08,50,False
2019-12-15,19,False
2019-12-22,31,False
2019-12-29,21,False
2020-01-05,0,False
2020-01-12,54,False
2020-01-19,19,False
2020-01-26,19,False
2020-02-02,18,False
2020-02-09,37,False
2020-02-16,19,False
2020-02-23,37,False
2020-03-01,18,False
2020-03-08,26,False
2020-03-15,16,False
2020-03-22,16,False
2020-03-29,31,False
2020-04-05,16,False
2020-04-12,0,True
