date,torte pasta di zucchero,isPartial
2018-01-07,69,False
2018-01-14,34,False
2018-01-21,70,False
2018-01-28,51,False
2018-02-04,85,False
2018-02-11,37,False
2018-02-18,52,False
2018-02-25,100,False
2018-03-04,71,False
2018-03-11,88,False
2018-03-18,18,False
2018-03-25,74,False
2018-04-01,19,False
2018-04-08,56,False
2018-04-15,55,False
2018-04-22,0,False
2018-04-29,36,False
2018-05-06,35,False
2018-05-13,55,False
2018-05-20,36,False
2018-05-27,19,False
2018-06-03,19,False
2018-06-10,17,False
2018-06-17,35,False
2018-06-24,36,False
2018-07-01,71,False
2018-07-08,54,False
2018-07-15,38,False
2018-07-22,19,False
2018-07-29,37,False
2018-08-05,0,False
2018-08-12,21,False
2018-08-19,21,False
2018-08-26,19,False
2018-09-02,54,False
2018-09-09,71,False
2018-09-16,86,False
2018-09-23,35,False
2018-09-30,18,False
2018-10-07,56,False
2018-10-14,93,False
2018-10-21,0,False
2018-10-28,36,False
2018-11-04,0,False
2018-11-11,19,False
2018-11-18,0,False
2018-11-25,37,False
2018-12-02,19,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,76,False
2019-01-06,0,False
2019-01-13,52,False
2019-01-20,50,False
2019-01-27,34,False
2019-02-03,51,False
2019-02-10,17,False
2019-02-17,34,False
2019-02-24,52,False
2019-03-03,18,False
2019-03-10,0,False
2019-03-17,36,False
2019-03-24,55,False
2019-03-31,35,False
2019-04-07,72,False
2019-04-14,19,False
2019-04-21,19,False
2019-04-28,35,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,51,False
2019-05-26,16,False
2019-06-02,18,False
2019-06-09,38,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,19,False
2019-07-14,0,False
2019-07-21,19,False
2019-07-28,19,False
2019-08-04,0,False
2019-08-11,21,False
2019-08-18,21,False
2019-08-25,0,False
2019-09-01,33,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,33,False
2019-09-29,16,False
2019-10-06,17,False
2019-10-13,34,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,16,False
2019-11-10,0,False
2019-11-17,16,False
2019-11-24,16,False
2019-12-01,17,False
2019-12-08,0,False
2019-12-15,17,False
2019-12-22,19,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,32,False
2020-01-19,16,False
2020-01-26,16,False
2020-02-02,61,False
2020-02-09,0,False
2020-02-16,16,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,29,False
2020-03-15,28,False
2020-03-22,26,False
2020-03-29,13,False
2020-04-05,14,False
2020-04-12,14,False
2020-04-19,13,False
2020-04-26,23,True
