date,canzoni,isPartial
2018-01-07,34,False
2018-01-14,36,False
2018-01-21,46,False
2018-01-28,57,False
2018-02-04,23,False
2018-02-11,60,False
2018-02-18,10,False
2018-02-25,31,False
2018-03-04,21,False
2018-03-11,42,False
2018-03-18,35,False
2018-03-25,11,False
2018-04-01,44,False
2018-04-08,12,False
2018-04-15,41,False
2018-04-22,71,False
2018-04-29,26,False
2018-05-06,27,False
2018-05-13,70,False
2018-05-20,13,False
2018-05-27,54,False
2018-06-03,41,False
2018-06-10,39,False
2018-06-17,90,False
2018-06-24,25,False
2018-07-01,47,False
2018-07-08,33,False
2018-07-15,33,False
2018-07-22,10,False
2018-07-29,31,False
2018-08-05,59,False
2018-08-12,39,False
2018-08-19,44,False
2018-08-26,44,False
2018-09-02,50,False
2018-09-09,12,False
2018-09-16,26,False
2018-09-23,38,False
2018-09-30,40,False
2018-10-07,73,False
2018-10-14,57,False
2018-10-21,28,False
2018-10-28,26,False
2018-11-04,0,False
2018-11-11,80,False
2018-11-18,39,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,47,False
2018-12-23,41,False
2018-12-30,63,False
2019-01-06,11,False
2019-01-13,33,False
2019-01-20,52,False
2019-01-27,21,False
2019-02-03,63,False
2019-02-10,61,False
2019-02-17,30,False
2019-02-24,10,False
2019-03-03,71,False
2019-03-10,10,False
2019-03-17,33,False
2019-03-24,23,False
2019-03-31,36,False
2019-04-07,60,False
2019-04-14,0,False
2019-04-21,34,False
2019-04-28,37,False
2019-05-05,13,False
2019-05-12,38,False
2019-05-19,62,False
2019-05-26,24,False
2019-06-02,12,False
2019-06-09,61,False
2019-06-16,73,False
2019-06-23,48,False
2019-06-30,11,False
2019-07-07,91,False
2019-07-14,30,False
2019-07-21,48,False
2019-07-28,46,False
2019-08-04,40,False
2019-08-11,71,False
2019-08-18,44,False
2019-08-25,45,False
2019-09-01,63,False
2019-09-08,33,False
2019-09-15,46,False
2019-09-22,23,False
2019-09-29,36,False
2019-10-06,74,False
2019-10-13,35,False
2019-10-20,80,False
2019-10-27,21,False
2019-11-03,45,False
2019-11-10,46,False
2019-11-17,44,False
2019-11-24,0,False
2019-12-01,32,False
2019-12-08,97,False
2019-12-15,63,False
2019-12-22,45,False
2019-12-29,62,False
2020-01-05,37,False
2020-01-12,37,False
2020-01-19,27,False
2020-01-26,52,False
2020-02-02,34,False
2020-02-09,43,False
2020-02-16,68,False
2020-02-23,15,False
2020-03-01,41,False
2020-03-08,9,False
2020-03-15,28,False
2020-03-22,44,False
2020-03-29,62,False
2020-04-05,49,False
2020-04-12,100,False
2020-04-19,66,False
2020-04-26,32,True
