date,Landschaftsarchitektur,isPartial
2018-01-07,44,False
2018-01-14,29,False
2018-01-21,44,False
2018-01-28,0,False
2018-02-04,45,False
2018-02-11,44,False
2018-02-18,29,False
2018-02-25,29,False
2018-03-04,0,False
2018-03-11,58,False
2018-03-18,44,False
2018-03-25,31,False
2018-04-01,33,False
2018-04-08,48,False
2018-04-15,0,False
2018-04-22,47,False
2018-04-29,33,False
2018-05-06,64,False
2018-05-13,93,False
2018-05-20,0,False
2018-05-27,32,False
2018-06-03,0,False
2018-06-10,30,False
2018-06-17,30,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,64,False
2018-07-22,32,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,65,False
2018-08-19,0,False
2018-08-26,30,False
2018-09-02,0,False
2018-09-09,31,False
2018-09-16,0,False
2018-09-23,31,False
2018-09-30,61,False
2018-10-07,61,False
2018-10-14,31,False
2018-10-21,47,False
2018-10-28,31,False
2018-11-04,59,False
2018-11-11,31,False
2018-11-18,29,False
2018-11-25,30,False
2018-12-02,60,False
2018-12-09,30,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,56,False
2019-01-27,28,False
2019-02-03,43,False
2019-02-10,56,False
2019-02-17,28,False
2019-02-24,84,False
2019-03-03,28,False
2019-03-10,28,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,0,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,56,False
2019-05-12,28,False
2019-05-19,28,False
2019-05-26,0,False
2019-06-02,88,False
2019-06-09,30,False
2019-06-16,29,False
2019-06-23,90,False
2019-06-30,0,False
2019-07-07,29,False
2019-07-14,31,False
2019-07-21,31,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,45,False
2019-08-18,44,False
2019-08-25,43,False
2019-09-01,28,False
2019-09-08,29,False
2019-09-15,0,False
2019-09-22,28,False
2019-09-29,40,False
2019-10-06,42,False
2019-10-13,42,False
2019-10-20,0,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,26,False
2019-11-17,54,False
2019-11-24,40,False
2019-12-01,0,False
2019-12-08,27,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,28,False
2020-01-05,26,False
2020-01-12,37,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,37,False
2020-02-09,100,False
2020-02-16,25,False
2020-02-23,0,False
2020-03-01,48,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,35,False
2020-04-05,26,False
2020-04-12,25,False
2020-04-19,47,False
2020-04-26,24,False
2020-05-03,49,False
2020-05-10,24,False
2020-05-17,26,False
2020-05-24,24,False
2020-05-31,25,False
2020-06-07,50,False
2020-06-14,24,False
2020-06-21,0,False
2020-06-28,75,False
2020-07-05,0,False
