date,Fotograf Hochzeit,isPartial
2018-01-07,24,False
2018-01-14,31,False
2018-01-21,15,False
2018-01-28,16,False
2018-02-04,24,False
2018-02-11,49,False
2018-02-18,32,False
2018-02-25,40,False
2018-03-04,0,False
2018-03-11,65,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,17,False
2018-04-08,50,False
2018-04-15,17,False
2018-04-22,33,False
2018-04-29,35,False
2018-05-06,35,False
2018-05-13,17,False
2018-05-20,18,False
2018-05-27,18,False
2018-06-03,17,False
2018-06-10,32,False
2018-06-17,16,False
2018-06-24,33,False
2018-07-01,16,False
2018-07-08,0,False
2018-07-15,17,False
2018-07-22,25,False
2018-07-29,17,False
2018-08-05,0,False
2018-08-12,18,False
2018-08-19,18,False
2018-08-26,36,False
2018-09-02,34,False
2018-09-09,17,False
2018-09-16,33,False
2018-09-23,34,False
2018-09-30,33,False
2018-10-07,16,False
2018-10-14,41,False
2018-10-21,39,False
2018-10-28,40,False
2018-11-04,0,False
2018-11-11,16,False
2018-11-18,15,False
2018-11-25,31,False
2018-12-02,16,False
2018-12-09,0,False
2018-12-16,16,False
2018-12-23,19,False
2018-12-30,33,False
2019-01-06,15,False
2019-01-13,37,False
2019-01-20,15,False
2019-01-27,37,False
2019-02-03,15,False
2019-02-10,38,False
2019-02-17,30,False
2019-02-24,16,False
2019-03-03,15,False
2019-03-10,15,False
2019-03-17,0,False
2019-03-24,16,False
2019-03-31,15,False
2019-04-07,23,False
2019-04-14,17,False
2019-04-21,33,False
2019-04-28,31,False
2019-05-05,22,False
2019-05-12,15,False
2019-05-19,30,False
2019-05-26,31,False
2019-06-02,16,False
2019-06-09,32,False
2019-06-16,49,False
2019-06-23,15,False
2019-06-30,15,False
2019-07-07,0,False
2019-07-14,23,False
2019-07-21,16,False
2019-07-28,33,False
2019-08-04,26,False
2019-08-11,33,False
2019-08-18,17,False
2019-08-25,26,False
2019-09-01,32,False
2019-09-08,16,False
2019-09-15,23,False
2019-09-22,0,False
2019-09-29,76,False
2019-10-06,36,False
2019-10-13,29,False
2019-10-20,14,False
2019-10-27,22,False
2019-11-03,14,False
2019-11-10,14,False
2019-11-17,28,False
2019-11-24,14,False
2019-12-01,0,False
2019-12-08,14,False
2019-12-15,15,False
2019-12-22,17,False
2019-12-29,32,False
2020-01-05,14,False
2020-01-12,53,False
2020-01-19,21,False
2020-01-26,13,False
2020-02-02,27,False
2020-02-09,20,False
2020-02-16,14,False
2020-02-23,27,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,12,False
2020-03-22,12,False
2020-03-29,12,False
2020-04-05,13,False
2020-04-12,100,True
