date,sposo,isPartial
2018-01-07,16,False
2018-01-14,23,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,47,False
2018-02-11,73,False
2018-02-18,38,False
2018-02-25,88,False
2018-03-04,64,False
2018-03-11,54,False
2018-03-18,100,False
2018-03-25,50,False
2018-04-01,50,False
2018-04-08,33,False
2018-04-15,42,False
2018-04-22,35,False
2018-04-29,31,False
2018-05-06,24,False
2018-05-13,34,False
2018-05-20,41,False
2018-05-27,40,False
2018-06-03,39,False
2018-06-10,44,False
2018-06-17,40,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,40,False
2018-07-15,32,False
2018-07-22,88,False
2018-07-29,48,False
2018-08-05,38,False
2018-08-12,14,False
2018-08-19,53,False
2018-08-26,38,False
2018-09-02,16,False
2018-09-09,17,False
2018-09-16,65,False
2018-09-23,25,False
2018-09-30,16,False
2018-10-07,34,False
2018-10-14,53,False
2018-10-21,53,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,34,False
2018-11-25,25,False
2018-12-02,54,False
2018-12-09,18,False
2018-12-16,27,False
2018-12-23,39,False
2018-12-30,42,False
2019-01-06,66,False
2019-01-13,50,False
2019-01-20,24,False
2019-01-27,32,False
2019-02-03,32,False
2019-02-10,16,False
2019-02-17,82,False
2019-02-24,33,False
2019-03-03,35,False
2019-03-10,34,False
2019-03-17,62,False
2019-03-24,35,False
2019-03-31,52,False
2019-04-07,43,False
2019-04-14,55,False
2019-04-21,18,False
2019-04-28,51,False
2019-05-05,0,False
2019-05-12,41,False
2019-05-19,25,False
2019-05-26,78,False
2019-06-02,53,False
2019-06-09,18,False
2019-06-16,26,False
2019-06-23,17,False
2019-06-30,35,False
2019-07-07,63,False
2019-07-14,33,False
2019-07-21,17,False
2019-07-28,16,False
2019-08-04,48,False
2019-08-11,15,False
2019-08-18,27,False
2019-08-25,28,False
2019-09-01,22,False
2019-09-08,24,False
2019-09-15,46,False
2019-09-22,23,False
2019-09-29,60,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,0,False
2019-11-03,14,False
2019-11-10,21,False
2019-11-17,37,False
2019-11-24,14,False
2019-12-01,15,False
2019-12-08,53,False
2019-12-15,31,False
2019-12-22,33,False
2019-12-29,31,False
2020-01-05,36,False
2020-01-12,54,False
2020-01-19,49,False
2020-01-26,41,False
2020-02-02,0,False
2020-02-09,28,False
2020-02-16,14,False
2020-02-23,52,False
2020-03-01,26,False
2020-03-08,18,False
2020-03-15,12,False
2020-03-22,23,False
2020-03-29,60,False
2020-04-05,0,False
2020-04-12,97,False
2020-04-19,24,False
2020-04-26,21,True
