date,sposo,isPartial
2018-01-07,33,False
2018-01-14,35,False
2018-01-21,35,False
2018-01-28,36,False
2018-02-04,43,False
2018-02-11,46,False
2018-02-18,38,False
2018-02-25,78,False
2018-03-04,87,False
2018-03-11,79,False
2018-03-18,52,False
2018-03-25,38,False
2018-04-01,41,False
2018-04-08,41,False
2018-04-15,38,False
2018-04-22,29,False
2018-04-29,36,False
2018-05-06,37,False
2018-05-13,39,False
2018-05-20,44,False
2018-05-27,34,False
2018-06-03,33,False
2018-06-10,31,False
2018-06-17,44,False
2018-06-24,45,False
2018-07-01,35,False
2018-07-08,32,False
2018-07-15,34,False
2018-07-22,45,False
2018-07-29,32,False
2018-08-05,33,False
2018-08-12,25,False
2018-08-19,37,False
2018-08-26,48,False
2018-09-02,38,False
2018-09-09,33,False
2018-09-16,30,False
2018-09-23,33,False
2018-09-30,29,False
2018-10-07,30,False
2018-10-14,26,False
2018-10-21,21,False
2018-10-28,30,False
2018-11-04,20,False
2018-11-11,24,False
2018-11-18,23,False
2018-11-25,19,False
2018-12-02,38,False
2018-12-09,22,False
2018-12-16,21,False
2018-12-23,29,False
2018-12-30,42,False
2019-01-06,72,False
2019-01-13,41,False
2019-01-20,36,False
2019-01-27,41,False
2019-02-03,37,False
2019-02-10,36,False
2019-02-17,33,False
2019-02-24,32,False
2019-03-03,34,False
2019-03-10,33,False
2019-03-17,31,False
2019-03-24,32,False
2019-03-31,34,False
2019-04-07,28,False
2019-04-14,44,False
2019-04-21,32,False
2019-04-28,34,False
2019-05-05,33,False
2019-05-12,32,False
2019-05-19,32,False
2019-05-26,33,False
2019-06-02,36,False
2019-06-09,30,False
2019-06-16,38,False
2019-06-23,36,False
2019-06-30,29,False
2019-07-07,26,False
2019-07-14,27,False
2019-07-21,25,False
2019-07-28,26,False
2019-08-04,27,False
2019-08-11,24,False
2019-08-18,30,False
2019-08-25,29,False
2019-09-01,36,False
2019-09-08,30,False
2019-09-15,22,False
2019-09-22,25,False
2019-09-29,22,False
2019-10-06,26,False
2019-10-13,19,False
2019-10-20,21,False
2019-10-27,21,False
2019-11-03,19,False
2019-11-10,21,False
2019-11-17,18,False
2019-11-24,16,False
2019-12-01,21,False
2019-12-08,16,False
2019-12-15,22,False
2019-12-22,30,False
2019-12-29,33,False
2020-01-05,25,False
2020-01-12,28,False
2020-01-19,33,False
2020-01-26,27,False
2020-02-02,28,False
2020-02-09,33,False
2020-02-16,25,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,11,False
2020-03-15,14,False
2020-03-22,17,False
2020-03-29,16,False
2020-04-05,12,False
2020-04-12,100,False
2020-04-19,17,False
2020-04-26,15,True
