date,Climatisation,isPartial
2018-01-07,4,False
2018-01-14,5,False
2018-01-21,5,False
2018-01-28,9,False
2018-02-04,9,False
2018-02-11,7,False
2018-02-18,7,False
2018-02-25,8,False
2018-03-04,5,False
2018-03-11,5,False
2018-03-18,5,False
2018-03-25,7,False
2018-04-01,5,False
2018-04-08,8,False
2018-04-15,19,False
2018-04-22,13,False
2018-04-29,12,False
2018-05-06,7,False
2018-05-13,9,False
2018-05-20,18,False
2018-05-27,14,False
2018-06-03,16,False
2018-06-10,14,False
2018-06-17,16,False
2018-06-24,14,False
2018-07-01,28,False
2018-07-08,18,False
2018-07-15,8,False
2018-07-22,33,False
2018-07-29,47,False
2018-08-05,49,False
2018-08-12,13,False
2018-08-19,7,False
2018-08-26,11,False
2018-09-02,7,False
2018-09-09,14,False
2018-09-16,8,False
2018-09-23,10,False
2018-09-30,8,False
2018-10-07,3,False
2018-10-14,8,False
2018-10-21,7,False
2018-10-28,7,False
2018-11-04,6,False
2018-11-11,7,False
2018-11-18,8,False
2018-11-25,11,False
2018-12-02,6,False
2018-12-09,7,False
2018-12-16,3,False
2018-12-23,5,False
2018-12-30,14,False
2019-01-06,10,False
2019-01-13,10,False
2019-01-20,8,False
2019-01-27,4,False
2019-02-03,6,False
2019-02-10,11,False
2019-02-17,8,False
2019-02-24,10,False
2019-03-03,5,False
2019-03-10,9,False
2019-03-17,8,False
2019-03-24,6,False
2019-03-31,7,False
2019-04-07,8,False
2019-04-14,9,False
2019-04-21,11,False
2019-04-28,8,False
2019-05-05,9,False
2019-05-12,10,False
2019-05-19,16,False
2019-05-26,10,False
2019-06-02,33,False
2019-06-09,11,False
2019-06-16,24,False
2019-06-23,100,False
2019-06-30,63,False
2019-07-07,17,False
2019-07-14,21,False
2019-07-21,67,False
2019-07-28,17,False
2019-08-04,15,False
2019-08-11,7,False
2019-08-18,13,False
2019-08-25,18,False
2019-09-01,5,False
2019-09-08,13,False
2019-09-15,14,False
2019-09-22,6,False
2019-09-29,13,False
2019-10-06,9,False
2019-10-13,8,False
2019-10-20,7,False
2019-10-27,10,False
2019-11-03,12,False
2019-11-10,7,False
2019-11-17,6,False
2019-11-24,4,False
2019-12-01,6,False
2019-12-08,10,False
2019-12-15,12,False
2019-12-22,3,False
2019-12-29,10,False
2020-01-05,7,False
2020-01-12,12,False
2020-01-19,9,False
2020-01-26,11,False
2020-02-02,15,False
2020-02-09,11,False
2020-02-16,4,False
2020-02-23,5,False
2020-03-01,14,False
2020-03-08,9,False
2020-03-15,5,False
2020-03-22,5,False
2020-03-29,6,False
2020-04-05,10,False
2020-04-12,7,False
2020-04-19,12,False
2020-04-26,12,False
2020-05-03,11,False
2020-05-10,18,False
2020-05-17,32,False
2020-05-24,23,False
2020-05-31,30,False
2020-06-07,16,False
2020-06-14,14,False
