date,Climatisation,isPartial
2018-01-07,7,False
2018-01-14,4,False
2018-01-21,4,False
2018-01-28,4,False
2018-02-04,7,False
2018-02-11,9,False
2018-02-18,11,False
2018-02-25,7,False
2018-03-04,4,False
2018-03-11,0,False
2018-03-18,4,False
2018-03-25,5,False
2018-04-01,8,False
2018-04-08,5,False
2018-04-15,15,False
2018-04-22,10,False
2018-04-29,7,False
2018-05-06,11,False
2018-05-13,5,False
2018-05-20,11,False
2018-05-27,23,False
2018-06-03,19,False
2018-06-10,9,False
2018-06-17,11,False
2018-06-24,22,False
2018-07-01,25,False
2018-07-08,14,False
2018-07-15,16,False
2018-07-22,54,False
2018-07-29,50,False
2018-08-05,35,False
2018-08-12,22,False
2018-08-19,19,False
2018-08-26,6,False
2018-09-02,10,False
2018-09-09,10,False
2018-09-16,14,False
2018-09-23,12,False
2018-09-30,14,False
2018-10-07,7,False
2018-10-14,5,False
2018-10-21,6,False
2018-10-28,7,False
2018-11-04,7,False
2018-11-11,0,False
2018-11-18,5,False
2018-11-25,14,False
2018-12-02,7,False
2018-12-09,5,False
2018-12-16,0,False
2018-12-23,8,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,6,False
2019-01-20,7,False
2019-01-27,7,False
2019-02-03,14,False
2019-02-10,5,False
2019-02-17,8,False
2019-02-24,5,False
2019-03-03,6,False
2019-03-10,8,False
2019-03-17,7,False
2019-03-24,0,False
2019-03-31,9,False
2019-04-07,5,False
2019-04-14,5,False
2019-04-21,12,False
2019-04-28,7,False
2019-05-05,9,False
2019-05-12,9,False
2019-05-19,16,False
2019-05-26,12,False
2019-06-02,23,False
2019-06-09,10,False
2019-06-16,25,False
2019-06-23,100,False
2019-06-30,34,False
2019-07-07,20,False
2019-07-14,23,False
2019-07-21,57,False
2019-07-28,24,False
2019-08-04,10,False
2019-08-11,5,False
2019-08-18,20,False
2019-08-25,5,False
2019-09-01,18,False
2019-09-08,9,False
2019-09-15,13,False
2019-09-22,8,False
2019-09-29,8,False
2019-10-06,4,False
2019-10-13,7,False
2019-10-20,4,False
2019-10-27,7,False
2019-11-03,4,False
2019-11-10,7,False
2019-11-17,5,False
2019-11-24,5,False
2019-12-01,8,False
2019-12-08,4,False
2019-12-15,9,False
2019-12-22,6,False
2019-12-29,6,False
2020-01-05,6,False
2020-01-12,9,False
2020-01-19,10,False
2020-01-26,4,False
2020-02-02,10,False
2020-02-09,13,False
2020-02-16,8,False
2020-02-23,9,False
2020-03-01,7,False
2020-03-08,9,False
2020-03-15,5,False
2020-03-22,6,False
2020-03-29,5,False
2020-04-05,7,False
2020-04-12,9,False
2020-04-19,4,False
2020-04-26,12,False
2020-05-03,8,False
2020-05-10,8,False
2020-05-17,28,False
2020-05-24,28,False
2020-05-31,18,False
2020-06-07,9,False
2020-06-14,14,False
