date,Climatisation,isPartial
2018-01-07,5,False
2018-01-14,7,False
2018-01-21,9,False
2018-01-28,5,False
2018-02-04,5,False
2018-02-11,5,False
2018-02-18,5,False
2018-02-25,0,False
2018-03-04,9,False
2018-03-11,6,False
2018-03-18,7,False
2018-03-25,0,False
2018-04-01,7,False
2018-04-08,12,False
2018-04-15,22,False
2018-04-22,7,False
2018-04-29,7,False
2018-05-06,10,False
2018-05-13,10,False
2018-05-20,10,False
2018-05-27,5,False
2018-06-03,12,False
2018-06-10,11,False
2018-06-17,10,False
2018-06-24,10,False
2018-07-01,18,False
2018-07-08,7,False
2018-07-15,18,False
2018-07-22,27,False
2018-07-29,72,False
2018-08-05,45,False
2018-08-12,15,False
2018-08-19,12,False
2018-08-26,5,False
2018-09-02,5,False
2018-09-09,5,False
2018-09-16,0,False
2018-09-23,7,False
2018-09-30,14,False
2018-10-07,10,False
2018-10-14,11,False
2018-10-21,5,False
2018-10-28,10,False
2018-11-04,5,False
2018-11-11,7,False
2018-11-18,5,False
2018-11-25,12,False
2018-12-02,5,False
2018-12-09,7,False
2018-12-16,7,False
2018-12-23,5,False
2018-12-30,0,False
2019-01-06,7,False
2019-01-13,10,False
2019-01-20,5,False
2019-01-27,7,False
2019-02-03,10,False
2019-02-10,10,False
2019-02-17,5,False
2019-02-24,8,False
2019-03-03,5,False
2019-03-10,7,False
2019-03-17,8,False
2019-03-24,7,False
2019-03-31,5,False
2019-04-07,7,False
2019-04-14,10,False
2019-04-21,20,False
2019-04-28,9,False
2019-05-05,7,False
2019-05-12,7,False
2019-05-19,10,False
2019-05-26,10,False
2019-06-02,19,False
2019-06-09,9,False
2019-06-16,12,False
2019-06-23,100,False
2019-06-30,47,False
2019-07-07,25,False
2019-07-14,15,False
2019-07-21,33,False
2019-07-28,20,False
2019-08-04,8,False
2019-08-11,5,False
2019-08-18,7,False
2019-08-25,10,False
2019-09-01,10,False
2019-09-08,12,False
2019-09-15,5,False
2019-09-22,9,False
2019-09-29,6,False
2019-10-06,5,False
2019-10-13,6,False
2019-10-20,5,False
2019-10-27,4,False
2019-11-03,7,False
2019-11-10,7,False
2019-11-17,9,False
2019-11-24,0,False
2019-12-01,7,False
2019-12-08,4,False
2019-12-15,4,False
2019-12-22,9,False
2019-12-29,9,False
2020-01-05,9,False
2020-01-12,12,False
2020-01-19,7,False
2020-01-26,4,False
2020-02-02,13,False
2020-02-09,5,False
2020-02-16,10,False
2020-02-23,11,False
2020-03-01,7,False
2020-03-08,6,False
2020-03-15,5,False
2020-03-22,3,False
2020-03-29,5,False
2020-04-05,5,False
2020-04-12,7,False
2020-04-19,5,False
2020-04-26,5,False
2020-05-03,7,False
2020-05-10,11,False
2020-05-17,19,False
2020-05-24,13,False
2020-05-31,15,False
2020-06-07,14,False
2020-06-14,8,False
