date,addobbi natalizi,isPartial
2018-01-07,12,False
2018-01-14,4,False
2018-01-21,0,False
2018-01-28,2,False
2018-02-04,3,False
2018-02-11,2,False
2018-02-18,2,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,2,False
2018-04-08,2,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,2,False
2018-05-06,4,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,2,False
2018-07-01,2,False
2018-07-08,0,False
2018-07-15,2,False
2018-07-22,3,False
2018-07-29,0,False
2018-08-05,4,False
2018-08-12,0,False
2018-08-19,4,False
2018-08-26,2,False
2018-09-02,4,False
2018-09-09,3,False
2018-09-16,2,False
2018-09-23,5,False
2018-09-30,4,False
2018-10-07,7,False
2018-10-14,12,False
2018-10-21,13,False
2018-10-28,19,False
2018-11-04,41,False
2018-11-11,66,False
2018-11-18,58,False
2018-11-25,88,False
2018-12-02,100,False
2018-12-09,60,False
2018-12-16,23,False
2018-12-23,6,False
2018-12-30,5,False
2019-01-06,4,False
2019-01-13,2,False
2019-01-20,3,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,2,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,4,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,2,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,2,False
2019-06-02,0,False
2019-06-09,2,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,2,False
2019-07-21,2,False
2019-07-28,4,False
2019-08-04,2,False
2019-08-11,0,False
2019-08-18,2,False
2019-08-25,2,False
2019-09-01,3,False
2019-09-08,4,False
2019-09-15,5,False
2019-09-22,7,False
2019-09-29,7,False
2019-10-06,8,False
2019-10-13,13,False
2019-10-20,15,False
2019-10-27,26,False
2019-11-03,36,False
2019-11-10,48,False
2019-11-17,58,False
2019-11-24,67,False
2019-12-01,78,False
2019-12-08,56,False
2019-12-15,15,False
2019-12-22,14,False
2019-12-29,8,False
2020-01-05,5,False
2020-01-12,3,False
2020-01-19,2,False
2020-01-26,2,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,3,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,2,False
2020-04-19,0,False
2020-04-26,0,True
