date,bomboniere cresima,isPartial
2018-01-07,47,False
2018-01-14,48,False
2018-01-21,68,False
2018-01-28,76,False
2018-02-04,61,False
2018-02-11,68,False
2018-02-18,64,False
2018-02-25,65,False
2018-03-04,67,False
2018-03-11,100,False
2018-03-18,67,False
2018-03-25,61,False
2018-04-01,48,False
2018-04-08,72,False
2018-04-15,63,False
2018-04-22,46,False
2018-04-29,45,False
2018-05-06,36,False
2018-05-13,50,False
2018-05-20,32,False
2018-05-27,16,False
2018-06-03,18,False
2018-06-10,8,False
2018-06-17,10,False
2018-06-24,12,False
2018-07-01,16,False
2018-07-08,6,False
2018-07-15,10,False
2018-07-22,10,False
2018-07-29,10,False
2018-08-05,19,False
2018-08-12,9,False
2018-08-19,29,False
2018-08-26,45,False
2018-09-02,23,False
2018-09-09,27,False
2018-09-16,46,False
2018-09-23,49,False
2018-09-30,49,False
2018-10-07,40,False
2018-10-14,43,False
2018-10-21,30,False
2018-10-28,29,False
2018-11-04,33,False
2018-11-11,14,False
2018-11-18,14,False
2018-11-25,8,False
2018-12-02,8,False
2018-12-09,14,False
2018-12-16,8,False
2018-12-23,21,False
2018-12-30,31,False
2019-01-06,34,False
2019-01-13,41,False
2019-01-20,53,False
2019-01-27,52,False
2019-02-03,72,False
2019-02-10,75,False
2019-02-17,79,False
2019-02-24,70,False
2019-03-03,47,False
2019-03-10,83,False
2019-03-17,62,False
2019-03-24,64,False
2019-03-31,54,False
2019-04-07,64,False
2019-04-14,49,False
2019-04-21,66,False
2019-04-28,50,False
2019-05-05,61,False
2019-05-12,67,False
2019-05-19,45,False
2019-05-26,22,False
2019-06-02,22,False
2019-06-09,22,False
2019-06-16,4,False
2019-06-23,12,False
2019-06-30,16,False
2019-07-07,18,False
2019-07-14,16,False
2019-07-21,16,False
2019-07-28,18,False
2019-08-04,17,False
2019-08-11,13,False
2019-08-18,25,False
2019-08-25,41,False
2019-09-01,47,False
2019-09-08,72,False
2019-09-15,59,False
2019-09-22,60,False
2019-09-29,70,False
2019-10-06,51,False
2019-10-13,22,False
2019-10-20,20,False
2019-10-27,27,False
2019-11-03,21,False
2019-11-10,23,False
2019-11-17,21,False
2019-11-24,18,False
2019-12-01,13,False
2019-12-08,4,False
2019-12-15,7,False
2019-12-22,11,False
2019-12-29,33,False
2020-01-05,40,False
2020-01-12,67,False
2020-01-19,94,False
2020-01-26,54,False
2020-02-02,71,False
2020-02-09,59,False
2020-02-16,64,False
2020-02-23,31,False
2020-03-01,57,False
2020-03-08,13,False
2020-03-15,5,False
2020-03-22,9,False
2020-03-29,7,False
2020-04-05,3,False
2020-04-12,3,False
2020-04-19,6,False
2020-04-26,10,True
