date,bomboniere cresima,isPartial
2018-01-07,44,False
2018-01-14,22,False
2018-01-21,42,False
2018-01-28,52,False
2018-02-04,21,False
2018-02-11,20,False
2018-02-18,29,False
2018-02-25,19,False
2018-03-04,47,False
2018-03-11,58,False
2018-03-18,29,False
2018-03-25,31,False
2018-04-01,21,False
2018-04-08,48,False
2018-04-15,40,False
2018-04-22,63,False
2018-04-29,0,False
2018-05-06,19,False
2018-05-13,29,False
2018-05-20,48,False
2018-05-27,60,False
2018-06-03,20,False
2018-06-10,38,False
2018-06-17,38,False
2018-06-24,20,False
2018-07-01,20,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,22,False
2018-08-12,26,False
2018-08-19,27,False
2018-08-26,35,False
2018-09-02,30,False
2018-09-09,38,False
2018-09-16,18,False
2018-09-23,19,False
2018-09-30,38,False
2018-10-07,39,False
2018-10-14,29,False
2018-10-21,29,False
2018-10-28,19,False
2018-11-04,27,False
2018-11-11,19,False
2018-11-18,19,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,25,False
2018-12-30,67,False
2019-01-06,43,False
2019-01-13,42,False
2019-01-20,30,False
2019-01-27,36,False
2019-02-03,42,False
2019-02-10,31,False
2019-02-17,84,False
2019-02-24,28,False
2019-03-03,0,False
2019-03-10,33,False
2019-03-17,100,False
2019-03-24,32,False
2019-03-31,42,False
2019-04-07,40,False
2019-04-14,42,False
2019-04-21,48,False
2019-04-28,21,False
2019-05-05,19,False
2019-05-12,0,False
2019-05-19,31,False
2019-05-26,30,False
2019-06-02,21,False
2019-06-09,42,False
2019-06-16,22,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,26,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,35,False
2019-09-01,30,False
2019-09-08,62,False
2019-09-15,30,False
2019-09-22,71,False
2019-09-29,40,False
2019-10-06,41,False
2019-10-13,41,False
2019-10-20,20,False
2019-10-27,31,False
2019-11-03,59,False
2019-11-10,0,False
2019-11-17,20,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,25,False
2019-12-29,24,False
2020-01-05,41,False
2020-01-12,38,False
2020-01-19,59,False
2020-01-26,19,False
2020-02-02,19,False
2020-02-09,39,False
2020-02-16,0,False
2020-02-23,37,False
2020-03-01,28,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,34,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,17,False
2020-04-26,0,True
