date,Fenster tapezieren,isPartial
2018-01-07,27,False
2018-01-14,53,False
2018-01-21,35,False
2018-01-28,44,False
2018-02-04,27,False
2018-02-11,54,False
2018-02-18,40,False
2018-02-25,36,False
2018-03-04,40,False
2018-03-11,62,False
2018-03-18,63,False
2018-03-25,29,False
2018-04-01,29,False
2018-04-08,28,False
2018-04-15,66,False
2018-04-22,45,False
2018-04-29,47,False
2018-05-06,28,False
2018-05-13,54,False
2018-05-20,29,False
2018-05-27,41,False
2018-06-03,54,False
2018-06-10,39,False
2018-06-17,0,False
2018-06-24,27,False
2018-07-01,67,False
2018-07-08,40,False
2018-07-15,56,False
2018-07-22,28,False
2018-07-29,42,False
2018-08-05,28,False
2018-08-12,0,False
2018-08-19,28,False
2018-08-26,28,False
2018-09-02,54,False
2018-09-09,81,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,0,False
2018-10-07,81,False
2018-10-14,68,False
2018-10-21,80,False
2018-10-28,79,False
2018-11-04,52,False
2018-11-11,62,False
2018-11-18,34,False
2018-11-25,35,False
2018-12-02,26,False
2018-12-09,52,False
2018-12-16,36,False
2018-12-23,31,False
2018-12-30,28,False
2019-01-06,0,False
2019-01-13,49,False
2019-01-20,33,False
2019-01-27,65,False
2019-02-03,38,False
2019-02-10,34,False
2019-02-17,26,False
2019-02-24,43,False
2019-03-03,38,False
2019-03-10,33,False
2019-03-17,61,False
2019-03-24,26,False
2019-03-31,0,False
2019-04-07,25,False
2019-04-14,56,False
2019-04-21,27,False
2019-04-28,38,False
2019-05-05,87,False
2019-05-12,39,False
2019-05-19,38,False
2019-05-26,26,False
2019-06-02,42,False
2019-06-09,44,False
2019-06-16,26,False
2019-06-23,78,False
2019-06-30,26,False
2019-07-07,38,False
2019-07-14,27,False
2019-07-21,28,False
2019-07-28,27,False
2019-08-04,55,False
2019-08-11,39,False
2019-08-18,26,False
2019-08-25,39,False
2019-09-01,25,False
2019-09-08,38,False
2019-09-15,26,False
2019-09-22,50,False
2019-09-29,100,False
2019-10-06,33,False
2019-10-13,49,False
2019-10-20,33,False
2019-10-27,36,False
2019-11-03,47,False
2019-11-10,47,False
2019-11-17,59,False
2019-11-24,47,False
2019-12-01,24,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,28,False
2019-12-29,39,False
2020-01-05,23,False
2020-01-12,37,False
2020-01-19,46,False
2020-01-26,22,False
2020-02-02,79,False
2020-02-09,44,False
2020-02-16,57,False
2020-02-23,33,False
2020-03-01,44,False
2020-03-08,42,False
2020-03-15,27,False
2020-03-22,61,False
2020-03-29,27,False
2020-04-05,22,False
2020-04-12,36,False
2020-04-19,41,False
2020-04-26,20,False
2020-05-03,41,False
2020-05-10,21,False
