date,Fenster tapezieren,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,55,False
2018-02-04,0,False
2018-02-11,57,False
2018-02-18,0,False
2018-02-25,83,False
2018-03-04,56,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,60,False
2018-04-01,60,False
2018-04-08,56,False
2018-04-15,57,False
2018-04-22,55,False
2018-04-29,0,False
2018-05-06,59,False
2018-05-13,56,False
2018-05-20,0,False
2018-05-27,56,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,54,False
2018-07-15,86,False
2018-07-22,59,False
2018-07-29,60,False
2018-08-05,89,False
2018-08-12,0,False
2018-08-19,58,False
2018-08-26,0,False
2018-09-02,57,False
2018-09-09,57,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,57,False
2018-10-07,0,False
2018-10-14,58,False
2018-10-21,57,False
2018-10-28,56,False
2018-11-04,0,False
2018-11-11,55,False
2018-11-18,53,False
2018-11-25,55,False
2018-12-02,0,False
2018-12-09,54,False
2018-12-16,55,False
2018-12-23,63,False
2018-12-30,0,False
2019-01-06,52,False
2019-01-13,0,False
2019-01-20,51,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,53,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,51,False
2019-03-17,55,False
2019-03-24,54,False
2019-03-31,0,False
2019-04-07,55,False
2019-04-14,57,False
2019-04-21,0,False
2019-04-28,54,False
2019-05-05,52,False
2019-05-12,54,False
2019-05-19,53,False
2019-05-26,0,False
2019-06-02,53,False
2019-06-09,54,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,54,False
2019-07-07,53,False
2019-07-14,56,False
2019-07-21,61,False
2019-07-28,0,False
2019-08-04,59,False
2019-08-11,0,False
2019-08-18,56,False
2019-08-25,54,False
2019-09-01,53,False
2019-09-08,0,False
2019-09-15,81,False
2019-09-22,53,False
2019-09-29,53,False
2019-10-06,52,False
2019-10-13,52,False
2019-10-20,52,False
2019-10-27,51,False
2019-11-03,0,False
2019-11-10,100,False
2019-11-17,98,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,49,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,47,False
2020-01-12,46,False
2020-01-19,47,False
2020-01-26,0,False
2020-02-02,93,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,45,False
2020-03-01,92,False
2020-03-08,0,False
2020-03-15,86,False
2020-03-22,64,False
2020-03-29,0,False
2020-04-05,47,False
2020-04-12,45,False
2020-04-19,87,False
2020-04-26,42,False
2020-05-03,43,False
2020-05-10,43,False
