date,piscine en béton,isPartial
2018-01-07,31,False
2018-01-14,30,False
2018-01-21,80,False
2018-01-28,20,False
2018-02-04,20,False
2018-02-11,21,False
2018-02-18,0,False
2018-02-25,27,False
2018-03-04,27,False
2018-03-11,21,False
2018-03-18,21,False
2018-03-25,21,False
2018-04-01,42,False
2018-04-08,28,False
2018-04-15,45,False
2018-04-22,32,False
2018-04-29,21,False
2018-05-06,44,False
2018-05-13,48,False
2018-05-20,21,False
2018-05-27,41,False
2018-06-03,41,False
2018-06-10,20,False
2018-06-17,21,False
2018-06-24,21,False
2018-07-01,40,False
2018-07-08,43,False
2018-07-15,45,False
2018-07-22,60,False
2018-07-29,68,False
2018-08-05,46,False
2018-08-12,23,False
2018-08-19,34,False
2018-08-26,22,False
2018-09-02,21,False
2018-09-09,32,False
2018-09-16,21,False
2018-09-23,21,False
2018-09-30,42,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,21,False
2018-10-28,21,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,21,False
2018-12-02,21,False
2018-12-09,31,False
2018-12-16,21,False
2018-12-23,24,False
2018-12-30,22,False
2019-01-06,21,False
2019-01-13,21,False
2019-01-20,20,False
2019-01-27,0,False
2019-02-03,20,False
2019-02-10,28,False
2019-02-17,32,False
2019-02-24,31,False
2019-03-03,40,False
2019-03-10,41,False
2019-03-17,21,False
2019-03-24,42,False
2019-03-31,62,False
2019-04-07,52,False
2019-04-14,32,False
2019-04-21,42,False
2019-04-28,21,False
2019-05-05,20,False
2019-05-12,20,False
2019-05-19,30,False
2019-05-26,34,False
2019-06-02,19,False
2019-06-09,33,False
2019-06-16,41,False
2019-06-23,47,False
2019-06-30,61,False
2019-07-07,51,False
2019-07-14,53,False
2019-07-21,36,False
2019-07-28,58,False
2019-08-04,22,False
2019-08-11,29,False
2019-08-18,36,False
2019-08-25,51,False
2019-09-01,39,False
2019-09-08,49,False
2019-09-15,20,False
2019-09-22,38,False
2019-09-29,76,False
2019-10-06,38,False
2019-10-13,25,False
2019-10-20,38,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,19,False
2019-11-17,19,False
2019-11-24,0,False
2019-12-01,30,False
2019-12-08,28,False
2019-12-15,19,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,18,False
2020-01-12,18,False
2020-01-19,18,False
2020-01-26,35,False
2020-02-02,18,False
2020-02-09,18,False
2020-02-16,18,False
2020-02-23,26,False
2020-03-01,29,False
2020-03-08,34,False
2020-03-15,41,False
2020-03-22,24,False
2020-03-29,39,False
2020-04-05,80,False
2020-04-12,65,False
2020-04-19,64,False
2020-04-26,50,False
2020-05-03,81,False
2020-05-10,75,False
2020-05-17,100,True
