date,Waschmaschinen Reparatur,isPartial
2018-01-07,0,False
2018-01-14,38,False
2018-01-21,76,False
2018-01-28,0,False
2018-02-04,77,False
2018-02-11,38,False
2018-02-18,38,False
2018-02-25,51,False
2018-03-04,38,False
2018-03-11,38,False
2018-03-18,0,False
2018-03-25,79,False
2018-04-01,79,False
2018-04-08,39,False
2018-04-15,40,False
2018-04-22,38,False
2018-04-29,40,False
2018-05-06,0,False
2018-05-13,38,False
2018-05-20,40,False
2018-05-27,38,False
2018-06-03,39,False
2018-06-10,37,False
2018-06-17,38,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,40,False
2018-07-15,43,False
2018-07-22,40,False
2018-07-29,39,False
2018-08-05,0,False
2018-08-12,73,False
2018-08-19,36,False
2018-08-26,75,False
2018-09-02,38,False
2018-09-09,38,False
2018-09-16,38,False
2018-09-23,51,False
2018-09-30,40,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,49,False
2018-10-28,0,False
2018-11-04,55,False
2018-11-11,56,False
2018-11-18,37,False
2018-11-25,38,False
2018-12-02,37,False
2018-12-09,0,False
2018-12-16,38,False
2018-12-23,42,False
2018-12-30,39,False
2019-01-06,53,False
2019-01-13,35,False
2019-01-20,35,False
2019-01-27,36,False
2019-02-03,36,False
2019-02-10,36,False
2019-02-17,36,False
2019-02-24,0,False
2019-03-03,36,False
2019-03-10,35,False
2019-03-17,36,False
2019-03-24,37,False
2019-03-31,37,False
2019-04-07,0,False
2019-04-14,41,False
2019-04-21,38,False
2019-04-28,37,False
2019-05-05,36,False
2019-05-12,37,False
2019-05-19,36,False
2019-05-26,0,False
2019-06-02,35,False
2019-06-09,0,False
2019-06-16,36,False
2019-06-23,73,False
2019-06-30,36,False
2019-07-07,37,False
2019-07-14,0,False
2019-07-21,60,False
2019-07-28,38,False
2019-08-04,37,False
2019-08-11,34,False
2019-08-18,36,False
2019-08-25,35,False
2019-09-01,34,False
2019-09-08,35,False
2019-09-15,35,False
2019-09-22,0,False
2019-09-29,35,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,68,False
2019-11-03,33,False
2019-11-10,100,False
2019-11-17,34,False
2019-11-24,65,False
2019-12-01,65,False
2019-12-08,33,False
2019-12-15,0,False
2019-12-22,37,False
2019-12-29,34,False
2020-01-05,63,False
2020-01-12,0,False
2020-01-19,32,False
2020-01-26,0,False
2020-02-02,63,False
2020-02-09,46,False
2020-02-16,32,False
2020-02-23,64,False
2020-03-01,32,False
2020-03-08,29,False
2020-03-15,58,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,31,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,29,False
2020-05-10,43,False
