date,Waschmaschinen Reparatur,isPartial
2018-01-07,68,False
2018-01-14,35,False
2018-01-21,34,False
2018-01-28,67,False
2018-02-04,71,False
2018-02-11,0,False
2018-02-18,34,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,34,False
2018-03-18,50,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,35,False
2018-04-15,35,False
2018-04-22,35,False
2018-04-29,71,False
2018-05-06,75,False
2018-05-13,0,False
2018-05-20,37,False
2018-05-27,0,False
2018-06-03,35,False
2018-06-10,33,False
2018-06-17,34,False
2018-06-24,0,False
2018-07-01,48,False
2018-07-08,73,False
2018-07-15,39,False
2018-07-22,41,False
2018-07-29,62,False
2018-08-05,39,False
2018-08-12,0,False
2018-08-19,37,False
2018-08-26,36,False
2018-09-02,0,False
2018-09-09,35,False
2018-09-16,35,False
2018-09-23,36,False
2018-09-30,41,False
2018-10-07,68,False
2018-10-14,35,False
2018-10-21,73,False
2018-10-28,0,False
2018-11-04,33,False
2018-11-11,35,False
2018-11-18,0,False
2018-11-25,34,False
2018-12-02,69,False
2018-12-09,35,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,39,False
2019-01-06,65,False
2019-01-13,29,False
2019-01-20,31,False
2019-01-27,53,False
2019-02-03,35,False
2019-02-10,34,False
2019-02-17,34,False
2019-02-24,33,False
2019-03-03,28,False
2019-03-10,0,False
2019-03-17,34,False
2019-03-24,34,False
2019-03-31,34,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,28,False
2019-05-05,0,False
2019-05-12,45,False
2019-05-19,67,False
2019-05-26,0,False
2019-06-02,29,False
2019-06-09,35,False
2019-06-16,34,False
2019-06-23,36,False
2019-06-30,35,False
2019-07-07,34,False
2019-07-14,36,False
2019-07-21,0,False
2019-07-28,53,False
2019-08-04,35,False
2019-08-11,34,False
2019-08-18,34,False
2019-08-25,32,False
2019-09-01,31,False
2019-09-08,34,False
2019-09-15,33,False
2019-09-22,55,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,100,False
2019-10-20,49,False
2019-10-27,32,False
2019-11-03,84,False
2019-11-10,32,False
2019-11-17,32,False
2019-11-24,52,False
2019-12-01,59,False
2019-12-08,32,False
2019-12-15,33,False
2019-12-22,0,False
2019-12-29,34,False
2020-01-05,0,False
2020-01-12,41,False
2020-01-19,31,False
2020-01-26,0,False
2020-02-02,48,False
2020-02-09,46,False
2020-02-16,31,False
2020-02-23,30,False
2020-03-01,29,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,30,False
2020-03-29,58,False
2020-04-05,45,False
2020-04-12,32,False
2020-04-19,30,False
2020-04-26,29,False
2020-05-03,27,False
2020-05-10,39,False
