date,salones bodas,isPartial
2018-01-07,32,False
2018-01-14,63,False
2018-01-21,0,False
2018-01-28,31,False
2018-02-04,62,False
2018-02-11,32,False
2018-02-18,0,False
2018-02-25,62,False
2018-03-04,0,False
2018-03-11,61,False
2018-03-18,32,False
2018-03-25,0,False
2018-04-01,96,False
2018-04-08,0,False
2018-04-15,31,False
2018-04-22,31,False
2018-04-29,35,False
2018-05-06,31,False
2018-05-13,49,False
2018-05-20,62,False
2018-05-27,30,False
2018-06-03,61,False
2018-06-10,30,False
2018-06-17,66,False
2018-06-24,33,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,40,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,42,False
2018-08-26,75,False
2018-09-02,66,False
2018-09-09,64,False
2018-09-16,31,False
2018-09-23,30,False
2018-09-30,30,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,46,False
2018-10-28,64,False
2018-11-04,28,False
2018-11-11,100,False
2018-11-18,57,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,38,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,58,False
2019-01-20,41,False
2019-01-27,0,False
2019-02-03,30,False
2019-02-10,0,False
2019-02-17,30,False
2019-02-24,27,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,31,False
2019-03-24,0,False
2019-03-31,59,False
2019-04-07,40,False
2019-04-14,38,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,30,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,42,False
2019-06-09,56,False
2019-06-16,0,False
2019-06-23,63,False
2019-06-30,32,False
2019-07-07,0,False
2019-07-14,35,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,44,False
2019-08-18,0,False
2019-08-25,36,False
2019-09-01,0,False
2019-09-08,86,False
2019-09-15,28,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,27,False
2019-10-20,55,False
2019-10-27,56,False
2019-11-03,26,False
2019-11-10,26,False
2019-11-17,27,False
2019-11-24,51,False
2019-12-01,28,False
2019-12-08,29,False
2019-12-15,27,False
2019-12-22,33,False
2019-12-29,33,False
2020-01-05,28,False
2020-01-12,25,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,39,False
2020-02-09,0,False
2020-02-16,53,False
2020-02-23,25,False
2020-03-01,37,False
2020-03-08,49,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
