date,tapis yoga,isPartial
2018-01-07,25,False
2018-01-14,0,False
2018-01-21,36,False
2018-01-28,37,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,26,False
2018-02-25,24,False
2018-03-04,0,False
2018-03-11,50,False
2018-03-18,50,False
2018-03-25,49,False
2018-04-01,26,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,24,False
2018-04-29,35,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,25,False
2018-06-24,49,False
2018-07-01,0,False
2018-07-08,24,False
2018-07-15,24,False
2018-07-22,32,False
2018-07-29,35,False
2018-08-05,22,False
2018-08-12,0,False
2018-08-19,23,False
2018-08-26,71,False
2018-09-02,72,False
2018-09-09,40,False
2018-09-16,73,False
2018-09-23,25,False
2018-09-30,49,False
2018-10-07,26,False
2018-10-14,25,False
2018-10-21,39,False
2018-10-28,25,False
2018-11-04,24,False
2018-11-11,49,False
2018-11-18,48,False
2018-11-25,32,False
2018-12-02,37,False
2018-12-09,24,False
2018-12-16,34,False
2018-12-23,42,False
2018-12-30,40,False
2019-01-06,33,False
2019-01-13,24,False
2019-01-20,47,False
2019-01-27,23,False
2019-02-03,24,False
2019-02-10,0,False
2019-02-17,35,False
2019-02-24,68,False
2019-03-03,25,False
2019-03-10,25,False
2019-03-17,25,False
2019-03-24,24,False
2019-03-31,32,False
2019-04-07,21,False
2019-04-14,0,False
2019-04-21,21,False
2019-04-28,20,False
2019-05-05,21,False
2019-05-12,31,False
2019-05-19,41,False
2019-05-26,21,False
2019-06-02,57,False
2019-06-09,20,False
2019-06-16,42,False
2019-06-23,20,False
2019-06-30,26,False
2019-07-07,39,False
2019-07-14,58,False
2019-07-21,21,False
2019-07-28,21,False
2019-08-04,31,False
2019-08-11,30,False
2019-08-18,42,False
2019-08-25,26,False
2019-09-01,20,False
2019-09-08,20,False
2019-09-15,0,False
2019-09-22,31,False
2019-09-29,28,False
2019-10-06,20,False
2019-10-13,40,False
2019-10-20,30,False
2019-10-27,19,False
2019-11-03,37,False
2019-11-10,19,False
2019-11-17,40,False
2019-11-24,20,False
2019-12-01,20,False
2019-12-08,39,False
2019-12-15,20,False
2019-12-22,32,False
2019-12-29,51,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,28,False
2020-01-26,47,False
2020-02-02,19,False
2020-02-09,38,False
2020-02-16,38,False
2020-02-23,0,False
2020-03-01,24,False
2020-03-08,18,False
2020-03-15,57,False
2020-03-22,39,False
2020-03-29,33,False
2020-04-05,91,False
2020-04-12,83,False
2020-04-19,71,False
2020-04-26,100,False
2020-05-03,97,False
2020-05-10,83,False
2020-05-17,42,True
