date,tapis yoga,isPartial
2018-01-07,26,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,26,False
2018-02-25,0,False
2018-03-04,26,False
2018-03-11,0,False
2018-03-18,26,False
2018-03-25,27,False
2018-04-01,0,False
2018-04-08,27,False
2018-04-15,27,False
2018-04-22,26,False
2018-04-29,28,False
2018-05-06,28,False
2018-05-13,0,False
2018-05-20,27,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,27,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,0,False
2018-07-22,27,False
2018-07-29,27,False
2018-08-05,26,False
2018-08-12,26,False
2018-08-19,26,False
2018-08-26,26,False
2018-09-02,0,False
2018-09-09,27,False
2018-09-16,65,False
2018-09-23,68,False
2018-09-30,27,False
2018-10-07,54,False
2018-10-14,41,False
2018-10-21,27,False
2018-10-28,26,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,27,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,26,False
2019-01-13,0,False
2019-01-20,34,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,27,False
2019-02-24,0,False
2019-03-03,25,False
2019-03-10,0,False
2019-03-17,27,False
2019-03-24,82,False
2019-03-31,27,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,26,False
2019-04-28,33,False
2019-05-05,25,False
2019-05-12,27,False
2019-05-19,0,False
2019-05-26,26,False
2019-06-02,24,False
2019-06-09,25,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,26,False
2019-07-07,25,False
2019-07-14,25,False
2019-07-21,0,False
2019-07-28,25,False
2019-08-04,0,False
2019-08-11,47,False
2019-08-18,25,False
2019-08-25,24,False
2019-09-01,25,False
2019-09-08,25,False
2019-09-15,41,False
2019-09-22,47,False
2019-09-29,47,False
2019-10-06,32,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,33,False
2019-11-03,0,False
2019-11-10,35,False
2019-11-17,35,False
2019-11-24,22,False
2019-12-01,57,False
2019-12-08,46,False
2019-12-15,69,False
2019-12-22,100,False
2019-12-29,24,False
2020-01-05,44,False
2020-01-12,22,False
2020-01-19,23,False
2020-01-26,0,False
2020-02-02,22,False
2020-02-09,0,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,49,False
2020-03-15,55,False
2020-03-22,36,False
2020-03-29,36,False
2020-04-05,45,False
2020-04-12,37,False
2020-04-19,46,False
2020-04-26,51,False
2020-05-03,29,False
2020-05-10,29,False
2020-05-17,48,True
