date,wedding planner,isPartial
2018-01-07,44,False
2018-01-14,35,False
2018-01-21,36,False
2018-01-28,35,False
2018-02-04,17,False
2018-02-11,71,False
2018-02-18,72,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,18,False
2018-03-18,18,False
2018-03-25,18,False
2018-04-01,18,False
2018-04-08,0,False
2018-04-15,47,False
2018-04-22,18,False
2018-04-29,0,False
2018-05-06,20,False
2018-05-13,56,False
2018-05-20,0,False
2018-05-27,18,False
2018-06-03,0,False
2018-06-10,17,False
2018-06-17,31,False
2018-06-24,37,False
2018-07-01,26,False
2018-07-08,19,False
2018-07-15,20,False
2018-07-22,20,False
2018-07-29,20,False
2018-08-05,100,False
2018-08-12,20,False
2018-08-19,19,False
2018-08-26,19,False
2018-09-02,19,False
2018-09-09,57,False
2018-09-16,37,False
2018-09-23,0,False
2018-09-30,28,False
2018-10-07,19,False
2018-10-14,19,False
2018-10-21,29,False
2018-10-28,25,False
2018-11-04,18,False
2018-11-11,35,False
2018-11-18,28,False
2018-11-25,17,False
2018-12-02,17,False
2018-12-09,0,False
2018-12-16,24,False
2018-12-23,20,False
2018-12-30,19,False
2019-01-06,17,False
2019-01-13,29,False
2019-01-20,17,False
2019-01-27,17,False
2019-02-03,17,False
2019-02-10,30,False
2019-02-17,28,False
2019-02-24,17,False
2019-03-03,25,False
2019-03-10,35,False
2019-03-17,18,False
2019-03-24,0,False
2019-03-31,28,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,18,False
2019-04-28,18,False
2019-05-05,18,False
2019-05-12,18,False
2019-05-19,30,False
2019-05-26,18,False
2019-06-02,17,False
2019-06-09,17,False
2019-06-16,54,False
2019-06-23,18,False
2019-06-30,18,False
2019-07-07,53,False
2019-07-14,18,False
2019-07-21,18,False
2019-07-28,38,False
2019-08-04,19,False
2019-08-11,18,False
2019-08-18,37,False
2019-08-25,61,False
2019-09-01,17,False
2019-09-08,29,False
2019-09-15,26,False
2019-09-22,33,False
2019-09-29,16,False
2019-10-06,33,False
2019-10-13,41,False
2019-10-20,38,False
2019-10-27,21,False
2019-11-03,24,False
2019-11-10,16,False
2019-11-17,40,False
2019-11-24,15,False
2019-12-01,16,False
2019-12-08,0,False
2019-12-15,16,False
2019-12-22,18,False
2019-12-29,25,False
2020-01-05,31,False
2020-01-12,22,False
2020-01-19,16,False
2020-01-26,15,False
2020-02-02,31,False
2020-02-09,30,False
2020-02-16,31,False
2020-02-23,15,False
2020-03-01,15,False
2020-03-08,15,False
2020-03-15,17,False
2020-03-22,13,False
2020-03-29,38,False
2020-04-05,25,False
2020-04-12,61,False
2020-04-19,17,False
2020-04-26,27,False
2020-05-03,0,False
2020-05-10,13,False
2020-05-17,65,True
