date,wedding planner,isPartial
2018-01-07,52,False
2018-01-14,26,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,52,False
2018-02-11,40,False
2018-02-18,40,False
2018-02-25,0,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,25,False
2018-03-25,25,False
2018-04-01,26,False
2018-04-08,39,False
2018-04-15,0,False
2018-04-22,79,False
2018-04-29,0,False
2018-05-06,55,False
2018-05-13,26,False
2018-05-20,26,False
2018-05-27,51,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,26,False
2018-06-24,66,False
2018-07-01,27,False
2018-07-08,0,False
2018-07-15,58,False
2018-07-22,0,False
2018-07-29,74,False
2018-08-05,30,False
2018-08-12,30,False
2018-08-19,29,False
2018-08-26,28,False
2018-09-02,0,False
2018-09-09,53,False
2018-09-16,40,False
2018-09-23,53,False
2018-09-30,52,False
2018-10-07,27,False
2018-10-14,27,False
2018-10-21,27,False
2018-10-28,0,False
2018-11-04,25,False
2018-11-11,0,False
2018-11-18,25,False
2018-11-25,25,False
2018-12-02,25,False
2018-12-09,53,False
2018-12-16,0,False
2018-12-23,59,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,37,False
2019-01-20,0,False
2019-01-27,24,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,40,False
2019-02-24,26,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,52,False
2019-03-24,39,False
2019-03-31,50,False
2019-04-07,0,False
2019-04-14,27,False
2019-04-21,50,False
2019-04-28,22,False
2019-05-05,22,False
2019-05-12,22,False
2019-05-19,57,False
2019-05-26,56,False
2019-06-02,32,False
2019-06-09,23,False
2019-06-16,36,False
2019-06-23,24,False
2019-06-30,0,False
2019-07-07,24,False
2019-07-14,0,False
2019-07-21,25,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,28,False
2019-08-18,43,False
2019-08-25,90,False
2019-09-01,36,False
2019-09-08,51,False
2019-09-15,38,False
2019-09-22,22,False
2019-09-29,21,False
2019-10-06,21,False
2019-10-13,21,False
2019-10-20,64,False
2019-10-27,21,False
2019-11-03,20,False
2019-11-10,61,False
2019-11-17,31,False
2019-11-24,20,False
2019-12-01,44,False
2019-12-08,23,False
2019-12-15,23,False
2019-12-22,49,False
2019-12-29,24,False
2020-01-05,0,False
2020-01-12,39,False
2020-01-19,40,False
2020-01-26,60,False
2020-02-02,30,False
2020-02-09,40,False
2020-02-16,20,False
2020-02-23,20,False
2020-03-01,41,False
2020-03-08,29,False
2020-03-15,18,False
2020-03-22,35,False
2020-03-29,18,False
2020-04-05,18,False
2020-04-12,100,False
2020-04-19,45,False
2020-04-26,17,False
2020-05-03,17,False
2020-05-10,0,False
2020-05-17,0,True
