date,Wedding planner,isPartial
2018-01-07,26,False
2018-01-14,25,False
2018-01-21,13,False
2018-01-28,33,False
2018-02-04,39,False
2018-02-11,52,False
2018-02-18,40,False
2018-02-25,49,False
2018-03-04,25,False
2018-03-11,39,False
2018-03-18,26,False
2018-03-25,0,False
2018-04-01,14,False
2018-04-08,41,False
2018-04-15,30,False
2018-04-22,14,False
2018-04-29,27,False
2018-05-06,36,False
2018-05-13,13,False
2018-05-20,21,False
2018-05-27,34,False
2018-06-03,34,False
2018-06-10,33,False
2018-06-17,28,False
2018-06-24,42,False
2018-07-01,13,False
2018-07-08,35,False
2018-07-15,15,False
2018-07-22,22,False
2018-07-29,15,False
2018-08-05,22,False
2018-08-12,15,False
2018-08-19,30,False
2018-08-26,42,False
2018-09-02,14,False
2018-09-09,42,False
2018-09-16,98,False
2018-09-23,28,False
2018-09-30,28,False
2018-10-07,28,False
2018-10-14,21,False
2018-10-21,100,False
2018-10-28,14,False
2018-11-04,27,False
2018-11-11,0,False
2018-11-18,13,False
2018-11-25,27,False
2018-12-02,13,False
2018-12-09,14,False
2018-12-16,42,False
2018-12-23,38,False
2018-12-30,14,False
2019-01-06,33,False
2019-01-13,20,False
2019-01-20,19,False
2019-01-27,13,False
2019-02-03,0,False
2019-02-10,39,False
2019-02-17,34,False
2019-02-24,40,False
2019-03-03,0,False
2019-03-10,26,False
2019-03-17,34,False
2019-03-24,26,False
2019-03-31,19,False
2019-04-07,13,False
2019-04-14,13,False
2019-04-21,26,False
2019-04-28,12,False
2019-05-05,24,False
2019-05-12,25,False
2019-05-19,12,False
2019-05-26,13,False
2019-06-02,19,False
2019-06-09,30,False
2019-06-16,38,False
2019-06-23,13,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,13,False
2019-07-21,33,False
2019-07-28,26,False
2019-08-04,13,False
2019-08-11,21,False
2019-08-18,29,False
2019-08-25,34,False
2019-09-01,42,False
2019-09-08,18,False
2019-09-15,60,False
2019-09-22,42,False
2019-09-29,37,False
2019-10-06,24,False
2019-10-13,49,False
2019-10-20,37,False
2019-10-27,58,False
2019-11-03,46,False
2019-11-10,23,False
2019-11-17,35,False
2019-11-24,11,False
2019-12-01,17,False
2019-12-08,22,False
2019-12-15,17,False
2019-12-22,19,False
2019-12-29,42,False
2020-01-05,40,False
2020-01-12,44,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,21,False
2020-02-16,16,False
2020-02-23,52,False
2020-03-01,27,False
2020-03-08,21,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,25,False
2020-04-05,20,False
2020-04-12,45,False
2020-04-19,25,False
2020-04-26,19,False
2020-05-03,19,False
2020-05-10,20,False
2020-05-17,0,True
