date,fotografo,isPartial
2018-01-07,17,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,32,False
2018-02-04,32,False
2018-02-11,40,False
2018-02-18,31,False
2018-02-25,22,False
2018-03-04,38,False
2018-03-11,23,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,25,False
2018-04-08,16,False
2018-04-15,25,False
2018-04-22,25,False
2018-04-29,16,False
2018-05-06,23,False
2018-05-13,24,False
2018-05-20,16,False
2018-05-27,33,False
2018-06-03,33,False
2018-06-10,23,False
2018-06-17,16,False
2018-06-24,25,False
2018-07-01,16,False
2018-07-08,33,False
2018-07-15,66,False
2018-07-22,50,False
2018-07-29,0,False
2018-08-05,17,False
2018-08-12,17,False
2018-08-19,0,False
2018-08-26,56,False
2018-09-02,0,False
2018-09-09,32,False
2018-09-16,16,False
2018-09-23,55,False
2018-09-30,40,False
2018-10-07,33,False
2018-10-14,33,False
2018-10-21,32,False
2018-10-28,31,False
2018-11-04,32,False
2018-11-11,100,False
2018-11-18,55,False
2018-11-25,16,False
2018-12-02,33,False
2018-12-09,24,False
2018-12-16,33,False
2018-12-23,38,False
2018-12-30,34,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,44,False
2019-01-27,15,False
2019-02-03,15,False
2019-02-10,39,False
2019-02-17,47,False
2019-02-24,32,False
2019-03-03,16,False
2019-03-10,31,False
2019-03-17,16,False
2019-03-24,24,False
2019-03-31,31,False
2019-04-07,24,False
2019-04-14,65,False
2019-04-21,24,False
2019-04-28,30,False
2019-05-05,23,False
2019-05-12,30,False
2019-05-19,15,False
2019-05-26,71,False
2019-06-02,32,False
2019-06-09,16,False
2019-06-16,65,False
2019-06-23,41,False
2019-06-30,51,False
2019-07-07,32,False
2019-07-14,25,False
2019-07-21,17,False
2019-07-28,0,False
2019-08-04,17,False
2019-08-11,17,False
2019-08-18,61,False
2019-08-25,30,False
2019-09-01,29,False
2019-09-08,45,False
2019-09-15,72,False
2019-09-22,43,False
2019-09-29,51,False
2019-10-06,37,False
2019-10-13,44,False
2019-10-20,29,False
2019-10-27,41,False
2019-11-03,28,False
2019-11-10,21,False
2019-11-17,14,False
2019-11-24,42,False
2019-12-01,44,False
2019-12-08,37,False
2019-12-15,52,False
2019-12-22,17,False
2019-12-29,45,False
2020-01-05,21,False
2020-01-12,40,False
2020-01-19,48,False
2020-01-26,46,False
2020-02-02,39,False
2020-02-09,28,False
2020-02-16,41,False
2020-02-23,13,False
2020-03-01,37,False
2020-03-08,18,False
2020-03-15,23,False
2020-03-22,11,False
2020-03-29,11,False
2020-04-05,12,False
2020-04-12,36,False
2020-04-19,17,False
2020-04-26,29,True
