date,fotografo,isPartial
2018-01-07,51,False
2018-01-14,38,False
2018-01-21,51,False
2018-01-28,44,False
2018-02-04,48,False
2018-02-11,42,False
2018-02-18,42,False
2018-02-25,30,False
2018-03-04,36,False
2018-03-11,50,False
2018-03-18,25,False
2018-03-25,52,False
2018-04-01,28,False
2018-04-08,19,False
2018-04-15,38,False
2018-04-22,20,False
2018-04-29,67,False
2018-05-06,32,False
2018-05-13,51,False
2018-05-20,26,False
2018-05-27,41,False
2018-06-03,26,False
2018-06-10,49,False
2018-06-17,73,False
2018-06-24,25,False
2018-07-01,26,False
2018-07-08,30,False
2018-07-15,69,False
2018-07-22,40,False
2018-07-29,50,False
2018-08-05,27,False
2018-08-12,45,False
2018-08-19,53,False
2018-08-26,48,False
2018-09-02,100,False
2018-09-09,60,False
2018-09-16,81,False
2018-09-23,39,False
2018-09-30,44,False
2018-10-07,48,False
2018-10-14,33,False
2018-10-21,20,False
2018-10-28,32,False
2018-11-04,71,False
2018-11-11,48,False
2018-11-18,27,False
2018-11-25,39,False
2018-12-02,42,False
2018-12-09,47,False
2018-12-16,64,False
2018-12-23,51,False
2018-12-30,13,False
2019-01-06,46,False
2019-01-13,78,False
2019-01-20,67,False
2019-01-27,56,False
2019-02-03,50,False
2019-02-10,75,False
2019-02-17,65,False
2019-02-24,51,False
2019-03-03,27,False
2019-03-10,38,False
2019-03-17,40,False
2019-03-24,39,False
2019-03-31,52,False
2019-04-07,39,False
2019-04-14,42,False
2019-04-21,34,False
2019-04-28,66,False
2019-05-05,65,False
2019-05-12,58,False
2019-05-19,65,False
2019-05-26,43,False
2019-06-02,67,False
2019-06-09,55,False
2019-06-16,47,False
2019-06-23,33,False
2019-06-30,81,False
2019-07-07,19,False
2019-07-14,93,False
2019-07-21,44,False
2019-07-28,53,False
2019-08-04,55,False
2019-08-11,21,False
2019-08-18,57,False
2019-08-25,26,False
2019-09-01,52,False
2019-09-08,79,False
2019-09-15,73,False
2019-09-22,66,False
2019-09-29,46,False
2019-10-06,53,False
2019-10-13,55,False
2019-10-20,46,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,46,False
2019-11-17,20,False
2019-11-24,38,False
2019-12-01,20,False
2019-12-08,34,False
2019-12-15,80,False
2019-12-22,14,False
2019-12-29,33,False
2020-01-05,32,False
2020-01-12,60,False
2020-01-19,18,False
2020-01-26,35,False
2020-02-02,59,False
2020-02-09,56,False
2020-02-16,36,False
2020-02-23,45,False
2020-03-01,28,False
2020-03-08,20,False
2020-03-15,10,False
2020-03-22,22,False
2020-03-29,24,False
2020-04-05,15,False
2020-04-12,52,False
2020-04-19,24,False
2020-04-26,34,True
