date,bouquet de mariage,isPartial
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,0,False
2018-01-28,70,False
2018-02-04,35,False
2018-02-11,71,False
2018-02-18,63,False
2018-02-25,50,False
2018-03-04,59,False
2018-03-11,24,False
2018-03-18,83,False
2018-03-25,60,False
2018-04-01,100,False
2018-04-08,47,False
2018-04-15,51,False
2018-04-22,25,False
2018-04-29,37,False
2018-05-06,78,False
2018-05-13,93,False
2018-05-20,61,False
2018-05-27,69,False
2018-06-03,23,False
2018-06-10,34,False
2018-06-17,46,False
2018-06-24,93,False
2018-07-01,34,False
2018-07-08,48,False
2018-07-15,39,False
2018-07-22,54,False
2018-07-29,70,False
2018-08-05,29,False
2018-08-12,46,False
2018-08-19,84,False
2018-08-26,63,False
2018-09-02,72,False
2018-09-09,46,False
2018-09-16,46,False
2018-09-23,35,False
2018-09-30,23,False
2018-10-07,46,False
2018-10-14,34,False
2018-10-21,46,False
2018-10-28,25,False
2018-11-04,46,False
2018-11-11,33,False
2018-11-18,23,False
2018-11-25,23,False
2018-12-02,58,False
2018-12-09,48,False
2018-12-16,24,False
2018-12-23,30,False
2018-12-30,82,False
2019-01-06,71,False
2019-01-13,47,False
2019-01-20,0,False
2019-01-27,23,False
2019-02-03,0,False
2019-02-10,57,False
2019-02-17,47,False
2019-02-24,24,False
2019-03-03,23,False
2019-03-10,58,False
2019-03-17,72,False
2019-03-24,25,False
2019-03-31,36,False
2019-04-07,49,False
2019-04-14,25,False
2019-04-21,93,False
2019-04-28,91,False
2019-05-05,51,False
2019-05-12,25,False
2019-05-19,49,False
2019-05-26,38,False
2019-06-02,56,False
2019-06-09,86,False
2019-06-16,86,False
2019-06-23,0,False
2019-06-30,49,False
2019-07-07,38,False
2019-07-14,27,False
2019-07-21,57,False
2019-07-28,30,False
2019-08-04,63,False
2019-08-11,33,False
2019-08-18,63,False
2019-08-25,54,False
2019-09-01,49,False
2019-09-08,48,False
2019-09-15,23,False
2019-09-22,23,False
2019-09-29,46,False
2019-10-06,72,False
2019-10-13,24,False
2019-10-20,48,False
2019-10-27,25,False
2019-11-03,70,False
2019-11-10,36,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,23,False
2019-12-22,57,False
2019-12-29,0,False
2020-01-05,34,False
2020-01-12,56,False
2020-01-19,58,False
2020-01-26,45,False
2020-02-02,23,False
2020-02-09,23,False
2020-02-16,47,False
2020-02-23,44,False
2020-03-01,22,False
2020-03-08,43,False
2020-03-15,0,False
2020-03-22,24,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,0,True
